永遠のみどり	永遠のみどり
子供の時、この洋式の建物がはじめて街に現れた時、彼は父に連れられて、その階段を上ったのだが、あの円い屋根は彼の家の二階からも眺めることが出来、子供心に何かふくらみを与えてくれたものだ。	子供の時、この洋式の建物がはじめて街に現れた時、彼は父に連れられて、その階段を上つたのだが、あの円い屋根は彼の家の二階からも眺めることが出来、子供心に何かふくらみを与へてくれたものだ。
今、鉄筋の残骸を見上げ、その円屋根のあたりに目を注ぐと、春のやわらかい夕ぐれの陽ざしが虚しく流れている。	今、鉄筋の残骸を見上げ、その円屋根のあたりに目を注ぐと、春のやはらかい夕ぐれの陽ざしが虚しく流れてゐる。
雀がしきりに飛びまわっているのは、あのなかに巣を作っているのだろう。	雀がしきりに飛びまはつてゐるのは、あのなかに巣を作つてゐるのだらう。
……時は流れた。	……時は流れた。
今はもう、この街もいきなり見る人の眼に戦慄を呼ぶものはなくなった。	今はもう、この街もいきなり見る人の眼に戦慄を呼ぶものはなくなつた。
そして、和やかな微風や、街をめぐる遠くの山脈が、静かに何かを祈りつづけているようだ。	そして、和やかな微風や、街をめぐる遠くの山脈が、静かに何かを祈りつづけてゐるやうだ。
バスが橋を渡って、己斐の国道の方に出ると、静かな日没前のアスファルトの上を、よたよたと虚脱の足どりで歩いて行く、ふわふわに脹れ上った黒い幻の群が、ふと眼に見えてくるようだった。	バスが橋を渡つて、己斐の国道の方に出ると、静かな日没前のアスフアルトの上を、よたよたと虚脱の足どりで歩いて行く、ふわふわに脹れ上つた黒い幻の群が、ふと眼に見えてくるやうだつた。
翌朝、彼は瓦斯ビルで行われる「広島の会」に出かけて行った。	翌朝、彼は瓦斯ビルで行はれる「広島の会」に出かけて行つた。
そこの二階で、広島ペンクラブと日本ペンクラブのテーブルスピーチは三時間あまり続いた。	そこの二階で、広島ペンクラブと日本ペンクラブのテーブルスピーチは三時間あまり続いた。
会が終った頃、サインブックが彼の前にも廻されて来た。	会が終つた頃、サインブツクが彼の前にも廻されて来た。
〈水ヲ下サイ〉と彼は何気なく咄嗟にペンをとって書いた。	〈水ヲ下サイ〉と彼は何気なく咄嗟にペンをとつて書いた。
それから彼はＭと一緒に中央公民館の方へ、ぶらぶら歩いて行った。	それから彼はＭと一緒に中央公民館の方へ、ぶらぶら歩いて行つた。
Ｍは以前から広島のことに関心をもっているらしかったが、今度ここで何を感受するのだろうか、と彼はふと想像してみた。	Ｍは以前から広島のことに関心をもつてゐるらしかつたが、今度ここで何を感受するのだらうか、と彼はふと想像してみた。
よく晴れた麗しい日和で、空気のなかには何か細かいものが無数に和みあっているようだった。	よく晴れた麗しい日和で、空気のなかには何か細かいものが無数に和みあつてゐるやうだつた。
中央公民館へ来ると、会場は既に聴衆で一杯だった。	中央公民館へ来ると、会場は既に聴衆で一杯だつた。
彼も今ここで行われる講演会に出て喋ることにされていた。	彼も今ここで行はれる講演会に出て喋ることにされてゐた。
彼は自分の名や作品が、まだ広島の人々にもよく知られているとは思わなかった。	彼は自分の名や作品が、まだ広島の人々にもよく知られてゐるとは思はなかつた。
だが、やはり遭難者の一人として、この土地とは切り離せないものがあるのではないかとおもえた。	だが、やはり遭難者の一人として、この土地とは切り離せないものがあるのではないかとおもへた。
……喋ろうとすることがらは前から漠然と考えつづけていた。	……喋らうとすることがらは前から漠然と考へつづけてゐた。
子供の時、見なれた土手町の桜並木、少年のくらくらするような気持で仰ぎ見た国泰寺の樟の大樹の青葉若葉、……そんなことを考え耽っていると、いま頭のなかは疼くように緑のかがやきで一杯になってゆくようだった。	子供の時、見なれた土手町の桜並木、少年の頃くらくらするやうな気持で仰ぎ見た国秦寺の樟の大樹の青葉若葉、……そんなことを考へ耽けつてゐると、いま頭のなかは疼くやうに緑のかがやきで一杯になつてゆくやうだつた。
すると、講演の順番が彼にめぐって来た。	すると、講演の順番が彼にめぐつて来た。
彼はステージに出て、渦巻く聴衆の顔と対きあっていたが、緑色の幻は眼の前にチラついた。	彼はステージに出て、渦巻く聴衆の顔と対きあつてゐたが、緑色の幻は眼の前にチラついた。
顔の渦のなかには、あの日の体験者らしい顔もいるようにおもえた。	顔の渦のなかには、あの日の体験者らしい顔もゐるやうにおもへた。
その講演会が終ると、バスはペンクラブの一行を乗せて夕方の観光道路を走っていた。	その講演会が終ると、バスはペンクラブの一行を乗せて夕方の観光道路を走つてゐた。
眼の前に見える瀬戸内海の静かなみどりは、ざわめきに疲れた心をうっとりさせるようだった。	眼の前に見える瀬戸内海の静かなみどりは、ざわめきに疲れた心をうつとりとさせるやうだつた。
汽船が桟橋に着くと、灯のついた島がやさしく見えて来た。	汽船が桟橋に着くと、灯のついた島がやさしく見えて来た。
旅館に落着いて間もなく、彼はある雑誌社の原爆体験者の座談会の片隅に坐っていた。	旅館に落着いて間もなく、彼はある雑誌社の原爆体験者の座談会の片隅に坐つてゐた。
翌日、ペンクラブは解散になったので、彼は一行と別れ、ひとり電車に乗った。	翌日、ペンクラブは解散になつたので、彼は一行と別れ、ひとり電車に乗つた。
幟町の家に帰ってみると、裏の弟と平田屋町の次兄が来ていた。	幟町の家へ帰つてみると、裏の弟と平田屋町の次兄が来てゐた。
こうして兄弟四人が顔をあわすのも十数年振りのことであった。	かうして兄弟四人が顔をあはすのも十数年振りのことであつた。
が、誰もそれを口にして云うものもなかった。	が、誰もそれを口にして云ふものもなかつた。
三畳の食堂は食器と人でぎっしりと一杯だった。	三畳の食堂は食器と人でぎつしりと一杯だつた。
「広島の夜も少し見よう。	「広島の夜も少し見よう。
その前に平田屋町へ寄ってみよう」と、彼は次兄と弟を誘って外に出た。	その前に平田屋町へ寄つてみよう」と、彼は次兄と弟を誘つて外に出た。
次兄の店に立寄ると、カーテンが張られ灯は消えていた。	次兄の店に立寄ると、カーテンが張られ灯は消えてゐた。
「みんなが揃っているところを一寸だけ見せて下さい」	「みんなが揃つてゐるところを一寸だけ見せて下さい」
奥から出て来た嫂に彼は頼んだ。	奥から出て来た嫂に彼はさう頼んだ。
寝巻姿や洋服の子供がぞろぞろと現れた。	寝巻姿や洋服の子供がぞろぞろと現れた。
みんな、嘗て八幡村で佗しい起居をともにした戦災児だった。	みんな、嘗て八幡村で侘しい起居をともにした戦災児だつた。
それぞれ違う顔のなかで、彼に一番｜懐いていた長女のズキズキした表情が目だっていた。	それぞれ違ふ顔のなかで、彼に一番懐いてゐた長女のズキズキした表情が目だつてゐた。
彼はまたすぐ往来に出た。	彼はまたすぐ往来に出た。
それから三人はぶらぶらと広島駅の方まで歩いて行った。	それから三人はぶらぶらと広島駅の方まで歩いて行つた。
夜はもう大分遅かったが、猿猴橋を渡ると、橋の下に満潮の水があった。	夜はもう大分遅かつたが、猿猴橋を渡ると、橋の下に満潮の水があつた。
それは昔ながらの夜の川の感触だった。	それは昔ながらの夜の川の感触だつた。
京橋まで戻って来ると、人通りの絶えた路の眼の前を、何か素速いものが横切った。	京橋まで戻つて来ると、人通りの絶えた路の眼の前を、何か素速いものが横切つた。
「いたち」と次兄は珍しげに声を発した。	「いたち」と次兄は珍しげに声を発した。
彼はまだ見ておきたい場所や訪ねたい家が、少し残っていた。	彼はまだ見ておきたい場所や訪ねたい家が少し残つてゐた。
罹災後、半年あまり、そこで悲惨な生活をつづけた八幡村へも、久し振りで行ってみたかった。	罹災後、半年あまり、そこで悲惨な生活をつづけた八幡村へも、久振りで行つてみたかつた。
今では街からバスが出ていて、それで行けば簡単なのだが、五年前とぼとぼと歩いた一里あまりの、あの路を、もう一度足で歩いてみたかった。	今では街からバスが出てゐて、それで行けば簡単なのだが、五年前とぼとぼと歩いた一里あまりの、あの路を、もう一度足で歩いてみたかつた。
それで翌日、彼はまず高須の妹の家に立寄った。	それで翌日、彼はまづ高須の妹の家に立寄つた。
この新築の家にあがるのも、再婚後産れた子供を見るのも、これがはじめてだった。	この新築の家にあがるのも、再婚後産れた子供を見るのも、これがはじめてだつた。
「もう年寄になってしまいました。	「もう年寄になつてしまひました。
今ではあなたの方が弟のように見える」と妹は笑った。	今ではあなたの方が弟のやうに見える」と妹は笑つた。
側では這い歩きのできる子供が、拗ねた顔で母親を視凝めていた。	側では這ひ歩きのできる子供が拗ねた顔で母親を視凝めてゐた。
「あなたは別に異状ないのですか。	「あなたは別に異状ないのですか。
眼がこの頃、どうしたわけか、涙が出てしようがないの。	眼がこの頃、どうしたわけか、涙が出てしようがないの。
Ａ・Ｂ・Ｃ・Ｃで診て貰おうかしらと思ってるのですが」	Ａ・Ｂ・Ｃ・Ｃで診て貰はうかしらと思つてるのですが」
妹と彼とは同じ屋内で原爆に遭ったのだが、五年後になって異状が現れるということがあるのだろうか。	妹と彼とは同じ屋内で原爆に遭つたのだが、五年後になつて異状が現れるといふことがあるのだらうか。
……だが、妹は義兄の例を不安げに話しだした。	……だが、妹は義兄の例を不安げに話しだした。
その義兄はあの当時、原爆症で毛髪まで無くなっていたが、すぐ元気になり、その後長らく異状なかったのに、最近になって頬の筋肉がひきつけたり、衰弱が目だって来たというのだ。	その義兄はあの当時、原爆症で毛髪まで無くなつてゐたが、すぐ元気になり、その後長らく異状なかつたのに、最近になつて頬の筋肉がひきつけたり、衰弱が目だつて来たといふのだ。
そんな話をきいていると、彼はあの直後、広島の地面のところどころから、突き刺すように感覚を脅かしていた異臭をまた想い出すのだった。	そんな話をきいてゐると、彼はあの直後、広島の地面のところどころから、突き刺すやうに感覚を脅かしてゐた異臭をまた想ひ出すのだつた。
妹のところで昼餉をすますと、彼は電車で楽楽園駅まで行き、そこから八幡村の方へ向って、小川に沿うた路を歩いて行った。	妹のところで昼餉をすますと、彼は電車で楽楽園駅まで行き、そこから八幡村の方へ向かつて、小川に沿うた路を歩いて行つた。
遙か向うに、彼の眼によく見憶えのある山脈があった。	遙か向うに、彼の目によく見憶えのある山脈があつた。
その山を眺めて歩いていると、嘗ての、ひだるい、悲しい怒りに似た感情がかえりみられた。	その山を眺めて歩いてゐると、嘗ての、ひだるい、悲しい、怒りに似た感情がかへりみられた。
……飢餓のなかで、よく彼はとぼとぼとこの路を歩いていたものだ。	……飢餓のなかで、よく彼はとぼとぼとこの路を歩いてゐたものだ。
冷却した宇宙にひとりとり残されたように、彼はこの路で、茫然として夜の星を仰いだものだ。	冷却した宇宙にひとり残されたやうに、彼はこの路で、茫然として夜の星を仰いだものだ。
だが、生存の脅威なら、その後もずっと引続いているはずだった。	だが、生存の脅威なら、その後もずつと引続いてゐるはずだつた。
今も、生活の破局に晒されながら、こうして、この路をひとり歩いている。	今も、生活の破局に晒されながら、かうして、この路をひとり歩いてゐる。
だが、とにかく、あれから五年は生きて来たのだ。	だが、とにかく、あれから五年は生きて来たのだ。
……いつの間にか風が出て空気にしめりがあった。	……いつの間にか、風が出て空気にしめりがあつた。
山脈の方の空に薄靄が立ちこめ、空は曇って来た。	山脈の方の空に薄靄が立ちこめ、空は曇つて来た。
すぐ近くで、雲雀の囀りがきこえた。	すぐ近くで、雲雀の囀りがきこえた。
見ると、薄く曇った中空に、一羽の雲雀は静かに翼を顫わせていた。	見ると、薄く曇つた中空に、一羽の雲雀は静かに翼を顫はせてゐた。
彼はその翌朝、白島の方へ歩いて行った。	彼はその翌朝、白島の方へ歩いて行つた。
寺の近くの花屋で金盞花の花を買うと、亡妻の墓を訪ね、それから常盤橋の上に佇んで、泉邸の川岸の方を暫く眺めた。	寺の近くの花屋で金盞花の花を買ふと、亡妻の墓を訪ね、それから常盤橋の上に佇んで、泉邸の川岸の方を暫く眺めた。
曇った緑色の岸で、何か作業をしている人の姿が小さく見える。	曇つた緑色の岸で、何か作業をしてゐる人の姿が小さく見える。
あの岸も、この橋の上も、彼には死と焔の記憶があった。	あの岸も、この橋の上も、彼には死と焔の記憶があつた。
午後は基町の方へ出掛けて行った。	午后は基町の方へ出掛けて行つた。
そこは昔の西練兵場跡なのだが、今は引揚者、戦災者などの家が建ならび、一つの部落を形づくっている。	そこは昔の西練兵場跡なのだが、今は引揚者、戦災者などの家が建ならび、一つの部落を形づくつてゐる。
野砲聯隊の跡に彼の探す新生学園はあった。	野砲連隊の跡に彼の探す新生学園はあつた。
彼は園主に案内されて孤児たちの部屋を見て歩いた。	彼は園主に案内されて孤児たちの部屋を見て歩いた。
広い勉強部屋にくると、城跡の石垣と青い堀が、明暗を混じえてガラス張りの向うにあった。	広い勉強部屋にくると、城跡の石垣と青い堀が、明暗を混じへてガラス張りの向うにあつた。
そこを出ると、彼は電車で舟入川口町の姉の家へ行った。	そこを出ると、彼は電車で舟入川口町の姉の家へ行つた。
「あんたの食器をあずかってあるのは、あれはどうしたらいいのですか」	「あんたの食器をあづかつてあるのは、あれはどうしたらいいのですか」
彼が居間へ上ると、姉はすぐこんなことを云いだした。	彼が居間へ上ると、姉はすぐこんなことを云ひだした。
「あ、あれですか。	「あ、あれですか。
もう要らないから勝手に使って下さい」	もう要らないから勝手に使つて下さい」
食器というのは、彼が地下に埋めておき、家の焼跡から掘出したものだが、以前、旅先の家で妻が使用していた品だった。	食器といふのは、彼が地下に埋めておき、家の焼跡から掘出したものだが、以前、旅先の家で妻が使用してゐた品だつた。
姉のところへ、あずけ放しにしてから五年になっていた。	姉のところへ、あづけ放しにしてから五年になつてゐた。
……彼はアルバムが見せてもらいたかったので、そのことを云った。	……彼はアルバムが見せてもらひたかつたので、そのことを云つた。
どの写真が見たいのかと、姉は三冊のアルバムを奥から持って来た。	どの写真が見たいのかと、姉は三冊のアムバムを奥から持つて来た。
昔の家の裏にあった葡萄棚の下にたたずんでいる少女の写真は、すぐに見つかった。	昔の家の裏にあつた葡萄棚の下にたたずんでゐる少女の写真は、すぐに見つかつた。
これが、広島へ来るまで彼の念頭にあった、死んだ姉の面影だった。	これが、広島へ来るまで彼の念頭にあつた、死んだ姉の面影だつた。
彼はそれを暫く借りることにして、アルバムから剥ぎ取ろうとした。	彼はそれを暫らく借りることにして、アルバムから剥ぎ取らうとした。
が、変色しかかった薄い写真は、ぺったりと台紙に密着していた。	が、変色しかかつた薄い写真は、ぺつたりと台紙に密着してゐた。
破れて駄目になりそうなので、彼は断念した。	破れて駄目になりさうなので、彼は断念した。
「あんた、一昨年こちらへ戻ったとき土地を売ったとかいうが、そのお金はどうしていますか」	「あんた、一昨年こちらへ戻つたとき土地を売つたとかいふが、そのお金はどうしてゐますか」
「大かた無くなってしまった」	「大かた無くなつてしまつた」
「あ、金に替えるものではないのね。	「あ、金に替へるものではないのね。
金に替えればすぐ消える。	金に替へればすぐ消える。
あ、あ、そうですか」	あ、あ、さうですか」
姉はこんど改造した家のなかを見せてくれた。	姉はこんど改造した家のなかを見せてくれた。
恰度、下宿人はみな不在だったので、彼は応接室から二階の方まで見て歩いた。	恰度、下宿人はみな不在だつたので、彼は応接室から二階の方まで見て歩いた。
畳を置いた板の間が薄い板壁のしきりで二分され、二つの部屋として使用されている。	畳を置いた板の間が薄い板壁のしきりで二分され、二つの部屋として使用されてゐる。
どの部屋も学生の止宿人らしく、佗しく殺風景だった。	どの部屋も学生の止宿人らしく、侘しく殺風景だつた。
内職のミシン仕事も思わしくないので、下宿屋を始めたのだが、「この私を御覧なさい。	内職のミシン仕事も思はしくないので、下宿屋を始めたのだが、「この私をご覧なさい。
十万円｜貯めていましたよ。	十万円貯めてゐましたよ。
そのうち六万円で今度、大工を雇ったのです」と姉は云うのだった。	そのうち六万円で今度、大工を雇つたのです」と姉は云ふのだつた。
ここは爆心地より離れていたので、家も焼けなかったのだが、終戦直後、姉は夫と死別し、二人の息子を抱えながら奮闘しているのだ。	ここは爆心地より離れてゐたので、家も焼けなかつたのだが、終戦直後、姉は夫と死別し、二人の息子を抱へながら奮闘してゐるのだ。
だが、その割りには、ＰＬ信者の姉は暢気そうだった。	だが、その割りには、ＰＬ信者の姉は暢気さうだつた。
「しっかりして下さい。	「しつかりして下さい。
しっかり」と姉は別際まで繰返した。	しつかり」と姉は別れ際まで繰返した。
明日は出発の予定だったが、彼はまだ兄に借金を申込む機会がなかった。	明日は出発の予定だつたが、彼はまだ兄に借金を申込む機会がなかつた。
いろんな人々に遇い、さまざまの風景を眺めた彼には、何か消え失せたものや忘却したものが、地下から頻りに湧き上ってくるような気持だった。	いろんな人々に遇ひ、さまざまの風景を眺めた彼には、何か消え失せたものや忘却したものが、地下から頻りに湧き上つてくるやうな気持だつた。
きのう八幡村に行く路で雲雀を聴いたことを、ふと彼は嫂に話してみた。	きのふ八幡村に行く路で雲雀を聴いたことを、ふと彼は嫂に話してみた。
「雲雀なら広島でも囀っていますよ。	「雲雀なら広島でも囀つてゐますよ。
ここの裏の方で啼いていました」	ここの裏の方で啼いてゐました」
先夜｜瞥見した鼬といい、雲雀といい、そんな風な動物が今はこの街に親しんできたのであろうか。	先夜瞥見した鼬といひ、雲雀といひ、そんな風な動物が今はこの街に親しんできたのであらうか。
「井ノ頭公園は下宿のすぐ近くでしょう。	「井ノ頭公園は下宿のすぐ近くでせう。
ずっと前に上京したとき、一度あの公園には案内してもらいました」……死んだ妻が、嫂をそこへわざわざ案内したということも、彼には初耳のようにおもわれた。	ずつと前に上京したとき、一度あの公園には案内してもらひました」……死んだ妻が、嫂をそこへわざわざ案内したといふことも、彼には初耳のやうにおもはれた。
彼はその晩、床のなかで容易に睡れなかった。	彼はその晩、床のなかで容易に睡れなかつた。
〈水ヲ下サイ〉という言葉がしきりと頭に浮んだ。	〈水ヲ下サイ〉といふ言葉がしきりと頭に浮んだ。
それはペンクラブの会のサインブックに何気なく書いたのだが、その言葉からは無数のおもいが湧きあがってくるようだった。	それはペンクラブの会のサインブツクに何気なく書いたのだが、その言葉からは無数のおもひが湧きあがつてくるやうだつた。
火傷で死んだ次兄の家の女中も、あの時しきりに水を欲しがっていた。	火傷で死んだ次兄の家の女中も、あの時しきりに水を欲しがつてゐた。
水ヲ下サイ……水ヲ下サイ……水ヲ下サイ……水ヲ下サイ……それは夢魔のように彼を呻吟させた。	水ヲ下サイ……水ヲ下サイ……水ヲ下サイ……水ヲ下サイ……それは夢魔のやうに彼を呻吟させた。
彼は帰京してから、それを次のように書いた。	彼は帰京してから、それを次のやうに書いた。
水ヲ下サイ	水ヲ下サイ
アア　水ヲ下サイ	アア　水ヲ下サイ
ノマシテ下サイ	ノマシテ下サイ
死ンダホウガ　マシデ	死ンダハウガ　マシデ
死ンダホウガ	死ンダハウガ
アア	アア
タスケテ　タスケテ	タスケテ　タスケテ
水ヲ	水ヲ
水ヲ	水ヲ
ドウカ	ドウカ
ドナタカ	ドナタカ
オーオーオーオー	オーオーオーオー
オーオーオーオー	オーオーオーオー
天ガ裂ケ	天ガ裂ケ
街ガナクナリ	街ガナクナリ
川ガ	川ガ
ナガレテイル	ナガレテヰル
オーオーオーオー	オーオーオーオー
オーオーオーオー	オーオーオーオー
夜ガクル	夜ガクル
夜ガクル	夜ガクル
ヒカラビタ眼ニ	ヒカラビタ眼ニ
タダレタ唇ニ	タダレタ唇ニ
ヒリヒリ灼ケテ	ヒリヒリ灼ケテ
フラフラノ	フラフラノ
コノ　メチャクチャノ	コノ　メチヤクチヤノ
顔ノ	顔ノ
ニンゲンノウメキ	ニンゲンノウメキ
ニンゲンノ	ニンゲンノ
出発の日の朝、彼は漸く兄に借金のことを話しかけてみた。	出発の日の朝、彼は漸く兄に借金のことを話しかけてみた。
「あの本の収入はどれ位あったのか」	「あの本の収入はどれ位あつたのか」
彼はありのままを云うより他はなかった。	彼はありのままを云ふより他はなかつた。
原爆のことを書いたその本は、彼の生活を四五ヵ月｜支えてくれたのである。	原爆のことを書いたその本は、彼の生活を四五ヶ月支へてくれたのである。
「それ位のものだったのか」と兄は意外らしい顔つきだった。	「それ位のものだつたのか」と兄は意外らしい顔つきだつた。
だが、兄の商売もひどく不況らしかった。	だが、兄の商売もひどく不況らしかつた。
それは若夫婦の生活を蔭で批評する嫂の口振りからも、ほぼ察せられた。	それは若夫婦の生活を蔭で批評する嫂の口振りからも、ほぼ察せられた。
「会社の欠損をこちらへ押しつけられて、どうにもならないんだ」と兄は屈託げな顔で暫く考え込んでいた。	「会社の欠損をこちらへ押しつけられて、どうにもならないんだ」と兄は屈托げな顔で暫く考へ込んでゐた。
「何なら、あの株券を売ってやろうか」	「何なら、あの株券を売つてやらうか」
それは死んだ父親が彼の名義にしていたもので、その後、長らく兄の手許に保管されていたものだった。	それは死んだ父親が彼の名義にしてゐたもので、その後、長らく兄の手許に保管されてゐたものだつた。
それが売れれば、一万五千円の金になるのだった。	それが売れれば、一万五千円の金になるのだつた。
母の遺産の土地を二年前に手離し、こんどは父の遺産とも別れることになった。	母の遺産の土地を二年前に手離し、こんどは父の遺産とも別れることになつた。
十日振りに帰ってみると、東京は雨だった。	十日振りに帰つてみると、東京は雨だつた。
フランスへ留学するＥの送別会の案内状が彼の許にも届いていた。	フランスへ留学するＥの送別会の案内状が彼の許にも届いてゐた。
ある雨ぐもりの夕方、神田へ出たついでに、彼は久し振りでＵ嬢の家を訪ねてみた。	ある雨ぐもりの夕方、神田へ出たついでに、彼は久振りでＵ嬢の家を訪ねてみた。
玄関先に現れた、お嬢さんは濃い緑色のドレスを着ていたので、彼をハッとさせた。	玄関先に現れた、お嬢さんは濃い緑色のドレスを着てゐたので、彼をハツとさせた。
だが、緑色の季節は吉祥寺のそこここにも訪れていた。	だが、緑色の季節は吉祥寺のそこここにも訪れてゐた。
彼はしきりに少年時代の広島の五月をおもいふけっていた。	彼はしきりに少年時代の広島の五月をおもひふけつてゐた。
