猿面冠者	猿面冠者
さきに「チエホフ書翰集」を棚からとりだして、そちこち頁をひっくりかえしてみたが、あまり面白くなかった。	さきに「チエホフ書翰集」を棚からとりだして、そちこち頁をひつくりかへしてみたが、あまり面白くなかつた。
劇場とか病気とかいう言葉にみちみちているのであった。	劇場とか病氣とかいふ言葉にみちみちてゐるのであつた。
これは「風の便り」の文献になり得ない。	これは「風の便り」の文獻になり得ない。
傲岸不遜のこの男は、つぎに「オネーギン」を手にとって、その恋文の条を捜した。	傲岸不遜のこの男は、つぎに「オネーギン」を手にとつて、その戀文の條を搜した。
すぐ捜しあてた。	すぐ搜しあてた。
彼の本であったのだから。	彼の本であつたのだから。
「わたしがあなたにお手紙を書くそのうえ何をつけたすことがいりましょう」なるほど、これでいいわけだ。	「わたしがあなたにお手紙を書くそのうへ何をつけたすことがいりませう。」なるほど、これでいいわけだ。
簡明である。	簡明である。
タチアナは、それから、神様のみこころ、夢、おもかげ、囁き、憂愁、まぼろし、天使、ひとりぼっち、などという言葉を、おくめんもなく並べたてている。	タチアナは、それから、神樣のみこころ、夢、おもかげ、囁き、憂愁、まぼろし、天使、ひとりぼつち、などといふ言葉を、おくめんもなく並べたててゐる。
そうしてむすびには、「もうこれで筆をおきます。	さうしてむすびには、「もうこれで筆をおきます。
読み返すのもおそろしい、羞恥の念と、恐怖の情で、消えもいりたい思いがします。	讀み返すのもおそろしい、羞恥の念と、恐怖の情で、消えもいりたい思ひがします。
けれども私は、高潔無比のお心をあてにしながら、ひと思いに私の運を、あなたのお手にゆだねます。	けれども私は、高潔無比のお心をあてにしながら、ひと思ひに私の運を、あなたのお手にゆだねます。
タチアナより。	タチアナより。
オネーギン様」こんな手紙がほしいのだ。	オネーギン樣。」こんな手紙がほしいのだ。
はっと気づいて巻を閉じた。	はつと氣づいて卷を閉ぢた。
危険だ。	危險だ。
影響を受ける。	影響を受ける。
いまこれを読むと害になる。	いまこれを讀むと害になる。
はて。	はて。
また書けなくなりそうだ。	また書けなくなりさうだ。
男は、あたふたと家へかえって来たのである。	男は、あたふたと家へかへつて來たのである。
家へ帰り、いそいで原稿用紙をひろげた。	家へ歸り、いそいで原稿用紙をひろげた。
安楽な気持で書こう。	安樂な氣持で書かう。
甘さや通俗を気にせず、らくらくと書きたい。	甘さや通俗を氣にせず、らくらくと書きたい。
ことに彼の旧稿「通信」という短篇は、さきにも言ったように、謂わば新作家の出世物語なのであるから、第一の通信を受けとるまでの描写は、そっくり旧稿を書きうつしてもいいくらいなのであった。	ことに彼の舊稿「通信」といふ短篇は、さきにも言つたやうに、謂はば新作家の出世物語なのであるから、第一の通信を受けとるまでの描冩は、そつくり舊稿を書きうつしてもいいくらゐなのであつた。
男は、煙草を二三本つづけざまに吸ってから、自信ありげにペンをつまみあげた。	男は、煙草を二三本つづけざまに吸つてから、自信ありげにペンをつまみあげた。
にやにやと笑いだしたのである。	にやにやと笑ひだしたのである。
これはこの男のひどく困ったときの仕草らしい。	これはこの男のひどく困つたときの仕草らしい。
彼はひとつの難儀をさとったのである。	彼はひとつの難儀をさとつたのである。
文章についてであった。	文章についてであつた。
旧稿の文章は、たけりたけって書かれている。	舊稿の文章は、たけりたけつて書かれてゐる。
これはどうしたって書き直さねばなるまい。	これはどうしたつて書き直さねばなるまい。
こんな調子では、ひともおのれも楽しむことができない。	こんな調子では、ひともおのれも樂しむことができない。
だいいち、ていさいがわるい。	だいいち、ていさいがわるい。
めんどうくさいが、これは書き改めよう。	めんだうくさいが、これは書き改めよう。
虚栄心のつよい男はそう思って、しぶしぶ書き直しはじめた。	虚榮心のつよい男はさう思つて、しぶしぶ書き直しはじめた。
わかい時分には、誰しもいちどはこんな夕を経験するものである。	わかい時分には、誰しもいちどはこんな夕を經驗するものである。
彼はその日のくれがた、街にさまよい出て、突然おどろくべき現実を見た。	彼はその日のくれがた、街にさまよひ出て、突然おどろくべき現實を見た。
彼は、街を通るひとびとがことごとく彼の知合いだったことに気づいた。	彼は、街を通るひとびとがことごとく彼の知合ひだつたことに氣づいた。
師走ちかい雪の街は、にぎわっていた。	師走ちかい雪の街は、にぎはつてゐた。
彼はせわしげに街を往き来するひとびとへいちいち軽い会釈をして歩かねばならなかった。	彼はせはしげに街を往き來するひとびとへいちいち輕い會釋をして歩かねばならなかつた。
とある裏町の曲り角で思いがけなく女学生の一群と出逢ったときなど、彼はほとんど帽子をとりそうにしたほどであった。	とある裏町の曲り角で思ひがけなく女學生の一群と出逢つたときなど、彼はほとんど帽子をとりさうにしたほどであつた。
彼はそのころ、北方の或る城下まちの高等学校で英語と独逸語とを勉強していた。	彼はそのころ、北方の或る城下まちの高等學校で英語と獨逸語とを勉強してゐた。
彼は英語の自由作文がうまかった。	彼は英語の自由作文がうまかつた。
入学して、ひとつきも経たぬうちに、その自由作文でクラスの生徒たちをびっくりさせた。	入學して、ひとつきも經たぬうちに、その自由作文でクラスの生徒たちをびつくりさせた。
入学早々、ブルウル氏という英人の教師が、What is Real Happiness? ということについて生徒へその所信を書くように命じたのである。	入學早々、ブルウル氏といふ英人の教師が、What is Real Happiness? といふことについて生徒へその所信を書くやう命じたのである。
ブルウル氏は、その授業はじめに、My Fairyland という題目でいっぷう変った物語をして、その翌る週には、The Real Cause of War について一時間主張し、おとなしい生徒を戦慄させ、やや進歩的な生徒を狂喜させた。	ブルウル氏は、その授業はじめに、My Fairyland といふ題目でいつぷう變つた物語をして、その翌る週には、The Real Cause of War について一時間主張し、おとなしい生徒を戰慄させ、やや進歩的な生徒を狂喜させた。
文部省がこのような教師を雇いいれたことは手柄であった。	文部省がこのやうな教師を雇ひいれたことは手柄であつた。
ブルウル氏は、チエホフに似ていた。	ブルウル氏は、チエホフに似てゐた。
鼻眼鏡を掛け短い顎鬚を内気らしく生やし、いつもまぶしそうに微笑んでいた。	鼻眼鏡を掛け短い顎鬚を内氣らしく生やし、いつもまぶしさうに微笑んでゐた。
英国の将校であるとも言われ、名高い詩人であるとも言われ、老けているようであるが、あれでまだ二十代だとも言われ、軍事探偵であるとも言われていた。	英國の將校であるとも言はれ、名高い詩人であるとも言はれ、老けてゐるやうであるが、あれでまだ二十代だとも言はれ、軍事探偵であるとも言はれてゐた。
そのように何やら神秘めいた雰囲気が、ブルウル氏をいっそう魅惑的にした。	そのやうに何やら神祕めいた雰圍氣が、ブルウル氏をいつそう魅惑的にした。
新入生たちはすべて、この美しい異国人に愛されようとひそかに祈った。	新入生たちはすべて、この美しい異國人に愛されようとひそかに祈つた。
そのブルウル氏が、三週間目の授業のとき、だまってボオルドに書きなぐった文字が What is Real Happiness? であった。	そのブルウル氏が、三週間目の授業のとき、だまつてボオルドに書きなぐつた文字が What is Real Happiness? であつた。
いずれはふるさとの自慢の子、えらばれた秀才たちは、この輝かしい初陣に、腕によりをかけた。	いづれはふるさとの自慢の子、えらばれた秀才たちは、この輝かしい初陣に、腕によりをかけた。
彼もまた、罫紙の塵をしずかに吹きはらってから、おもむろにペンを走らせた。	彼もまた、罫紙の塵をしづかに吹きはらつてから、おもむろにペンを走らせた。
Shakespeare said,“――流石におおげさすぎると思った。	Shakespeare said,“――流石におほげさすぎると思つた。
顔をあからめながら、ゆっくり消した。	顏をあからめながら、ゆつくり消した。
右から左から前から後から、ペンの走る音がひくく聞えた。	右から左から前から後から、ペンの走る音がひくく聞えた。
彼は頬杖ついて思案にくれた。	彼は頬杖ついて思案にくれた。
彼は書きだしに凝るほうであった。	彼は書きだしに凝るはうであつた。
どのような大作であっても、書きだしの一行で、もはやその作品の全部の運命が決するものだと信じていた。	どのやうな大作であつても、書きだしの一行で、もはやその作品の全部の運命が決するものだと信じてゐた。
よい書きだしの一行ができると、彼は全部を書きおわったときと同じようにぼんやりした間抜け顔になるのであった。	よい書きだしの一行ができると、彼は全部を書きをはつたときと同じやうにぼんやりした間拔け顏になるのであつた。
彼はペン先をインクの壺にひたらせた。	彼はペン先をインクの壺にひたらせた。
なおすこし考えて、それからいきおいよく書きまくった。	なほすこし考へて、それからいきほひよく書きまくつた。
Zenzo Kasai, one of the most unfortunate Japanese novelists at present, said,“――葛西善蔵は、そのころまだ生きていた。	Zenzo Kasai, one of the most unfortunate Japanese novelists at present, said,“――葛西善藏は、そのころまだ生きてゐた。
いまのように有名ではなかった。	いまのやうに有名ではなかつた。
一週間すぎて、ふたたびブルウル氏の時間が来た。	一週間すぎて、ふたたびブルウル氏の時間が來た。
お互いにまだ友人になりきれずにいる新入生たちは、教室のおのおのの机に坐ってブルウル氏を待ちつつ、敵意に燃える瞳を煙草のけむりのかげからひそかに投げつけ合った。	お互ひにまだ友人になりきれずにゐる新入生たちは、教室のおのおのの机に坐つてブルウル氏を待ちつつ、敵意に燃える瞳を煙草のけむりのかげからひそかに投げつけ合つた。
寒そうに細い肩をすぼませて教室へはいって来たブルウル氏は、やがてほろにがく微笑みつつ、不思議なアクセントでひとつの日本の姓名を呟いた。	寒さうに細い眉をすぼませて教室へはひつて來たブルウル氏は、やがてほろにがく微笑みつつ、不思議なアクセントでひとつの日本の姓名を呟いた。
彼の名であった。	彼の名であつた。
彼はたいぎそうにのろのろと立ちあがった。	彼はたいぎさうにのろのろと立ちあがつた。
頬がまっかだった。	頬がまつかだつた。
ブルウル氏は、彼の顔を見ずに言った。	ブルウル氏は、彼の顏を見ずに言つた。
Most Excellent ! 教壇をあちこち歩きまわりながらうつむいて言いつづけた。	Most Excellent! 教壇をあちこち歩きまはりながらうつむいて言ひつづけた。
Is this essay absolutely original? 彼は眉をあげて答えた。	Is this essay absolutely original? 彼は眉をあげて答へた。
Of course. クラスの生徒たちは、どっと奇怪な喚声をあげた。	Of course. クラスの生徒たちは、どつと奇怪な喚聲をあげた。
ブルウル氏は蒼白の広い額をさっとあからめて彼のほうを見た。	ブルウル氏は蒼白の廣い額をさつとあからめて彼のはうを見た。
すぐ眼をふせて、鼻眼鏡を右手で軽くおさえ、If it is, then it shows great promise and not only this, but shows some brain behind it. と一語ずつ区切ってはっきり言った。	すぐ眼をふせて、鼻眼鏡を右手で輕くおさへ、If it is, then it shows great promise and not only this, but shows some brain behind it. と一語づつ區切つてはつきり言つた。
彼は、ほんとうの幸福とは、外から得られぬものであって、おのれが英雄になるか、受難者になるか、その心構えこそほんとうの幸福に接近する鍵である、という意味のことを言い張ったのであった。	彼は、ほんたうの幸福とは、外から得られぬものであつて、おのれが英雄になるか、受難者になるか、その心構へこそほんたうの幸福に接近する鍵である、といふ意味のことを言ひ張つたのであつた。
彼のふるさとの先輩葛西善蔵の暗示的な述懐をはじめに書き、それを敷衍しつつ筆をすすめた。	彼のふるさとの先輩葛西善藏の暗示的な述懷をはじめに書き、それを敷衍しつつ筆をすすめた。
彼は葛西善蔵といちども逢ったことがなかったし、また葛西善蔵がそのような述懐をもらしていることも知らなかったのであるが、たとえ嘘でも、それができてあるならば、葛西善蔵はきっと許してくれるだろうと思ったのである。	彼は葛西善藏といちども逢つたことがなかつたし、また葛西善藏がそのやうな述懷をもらしてゐることも知らなかつたのであるが、たとへ嘘でも、それができてあるならば、葛西善藏はきつと許してくれるだらうと思つたのである。
そんなことから、彼はクラスの寵を一身にあつめた。	そんなことから、彼はクラスの寵を一身にあつめた。
わかい群集は英雄の出現に敏感である。	わかい群集は英雄の出現に敏感である。
ブルウル氏は、それからも生徒へつぎつぎとよい課題を試みた。	ブルウル氏は、それからも生徒へつぎつぎとよい課題を試みた。
Fact and Truth. The Ainu. A Walk in the Hills in Spring. Are We of Today Really Civilised? 彼は力いっぱいに腕をふるった。	Fact and Truth. The Ainu. A Walk in the Hills in Spring. Are We of Today Really Civilised? 彼は力いつぱいに腕をふるつた。
そうしていつもかなりに報いられるのであった。	さうしていつもかなりに報いられるのであつた。
若いころの名誉心は飽くことを知らぬものである。	若いころの名譽心は飽くことを知らぬものである。
そのとしの暑中休暇には、彼は見込みある男としての誇りを肩に示して帰郷した。	そのとしの暑中休暇には、彼は見込みある男としての誇りを肩に示して歸郷した。
彼のふるさとは本州の北端の山のなかにあり、彼の家はその地方で名の知られた地主であった。	彼のふるさとは本州の北端の山のなかにあり、彼の家はその地方で名の知られた地主であつた。
父は無類のおひとよしの癖に悪辣ぶりたがる性格を持っていて、そのひとりむすこである彼にさえ、わざと意地わるくかかっていた。	父は無類のおひとよしの癖に惡辣ぶりたがる性格を持つてゐて、そのひとりむすこである彼にさへ、わざと意地わるくかかつてゐた。
彼がどのようなしくじりをしても、せせら笑って彼を許した。	彼がどのやうなしくじりをしても、せせら笑つて彼を許した。
そしてわきを向いたりなどしながら言うのであった。	そしてわきを向いたりなどしながら言ふのであつた。
人間、気のきいたことをせんと。	人間、氣のきいたことをせんと。
そう呟いてから、さも抜け目のない男のようにふいと全くちがった話を持ちだすのである。	さう呟いてから、さも拔け目のない男のやうにふいと全くちがつた話を持ちだすのである。
彼はずっと前からこの父をきらっていた。	彼はずつと前からこの父をきらつてゐた。
虫が好かないのだった。	蟲が好かないのだつた。
幼いときから気のきかないことばかりやらかしていたからでもあった。	幼いときから氣のきかないことばかりやらかしてゐたからでもあつた。
母はだらしのないほど彼を尊敬していた。	母はだらしのないほど彼を尊敬してゐた。
いまにきっとえらいものになると信じていた。	いまにきつとえらいものになると信じてゐた。
彼が高等学校の生徒としてはじめて帰郷したときにも、母はまず彼の気むずかしくなったのにおどろいたのであったけれど、しかし、それを高等教育のせいであろうと考えた。	彼が高等學校の生徒としてはじめて歸郷したときにも、母はまづ彼の氣むづかしくなつたのにおどろいたのであつたけれど、しかし、それを高等教育のせゐであらうと考へた。
ふるさとに帰った彼は、怠けてなどいなかった。	ふるさとに歸つた彼は、怠けてなどゐなかつた。
蔵から父の古い人名辞典を見つけだし、世界の文豪の略歴をしらべていた。	藏から父の古い人名辭典を見つけだし、世界の文豪の略歴をしらべてゐた。
バイロンは十八歳で処女詩集を出版している。	バイロンは十八歳で處女詩集を出版してゐる。
シルレルもまた十八歳、「群盗」に筆を染めた。	シルレルもまた十八歳、「群盜」に筆を染めた。
ダンテは九歳にして「新生」の腹案を得たのである。	ダンテは九歳にして「新生」の腹案を得たのである。
彼もまた。	彼もまた。
小学校のときからその文章をうたわれ、いまは智識ある異国人にさえ若干の頭脳を認められている彼もまた。	小學校のときからその文章をうたはれ、いまは智識ある異國人にさへ若干の頭腦を認められてゐる彼もまた。
家の前庭のおおきい栗の木のしたにテエブルと椅子を持ちだし、こつこつと長編小説を書きはじめた。	家の前庭のおほきい栗の木のしたにテエブルと椅子を持ちだし、こつこつと長編小説を書きはじめた。
彼のこのようなしぐさは、自然である。	彼のこのやうなしぐさは、自然である。
それについては諸君にも心あたりがないとは言わせぬ。	それについては諸君にも心あたりがないとは言はせぬ。
題を「鶴」とした。	題を「鶴」とした。
天才の誕生からその悲劇的な末路にいたるまでの長編小説であった。	天才の誕生からその悲劇的な末路にいたるまでの長編小説であつた。
彼は、このようにおのれの運命をおのれの作品で予言することが好きであった。	彼は、このやうにおのれの運命をおのれの作品で豫言することが好きであつた。
書きだしには苦労をした。	書きだしには苦勞をした。
こう書いた。	かう書いた。
――男がいた。	――男がゐた。
四つのとき、彼の心のなかに野性の鶴が巣くった。	四つのとき、彼の心のなかに野性の鶴が巣くつた。
鶴は熱狂的に高慢であった。	鶴は熱狂的に高慢であつた。
云々。	云々。
暑中休暇がおわって、十月のなかば、みぞれの降る夜、ようやく脱稿した。	暑中休暇がをはつて、十月のなかば、みぞれの降る夜、やうやく脱稿した。
すぐまちの印刷所へ持って行った。	すぐまちの印刷所へ持つて行つた。
父は、彼の要求どおりに黙って二百円送ってよこした。	父は、彼の要求どほりに默つて二百圓送つてよこした。
彼はその書留を受けとったとき、やはり父の底意地のわるさを憎んだ。	彼はその書留を受けとつたとき、やはり父の底意地のわるさを憎んだ。
叱るなら叱るでいい、太腹らしく黙って送って寄こしたのが気にくわなかった。	叱るなら叱るでいい、太腹らしく默つて送つて寄こしたのが氣にくはなかつた。
十二月のおわり、「鶴」は菊半裁判、百余頁の美しい本となって彼の机上に高く積まれた。	十二月のをはり、「鶴」は菊半裁判、百餘頁の美しい本となつて彼の机上に高く積まれた。
表紙には鷲に似た鳥がところせましと翼をひろげていた。	表紙には、鷲に似た妙な鳥がところせましと翼をひろげてゐた。
まず、その県のおもな新聞社へ署名して一部ずつ贈呈した。	まづ、その縣のおもな新聞社へ署名して一部づつ贈呈した。
一朝めざむればわが名は世に高いそうな。	一朝めざむればわが名は世に高いさうな。
彼には、一刻が百年千年のように思われた。	彼には、一刻が百年千年のやうに思はれた。
五部十部と街じゅうの本屋にくばって歩いた。	五部十部と街ぢゆふの本屋にくばつて歩いた。
ビラを貼った。	ビラを貼つた。
鶴を読め、鶴を読めと激しい語句をいっぱい刷り込んだ五寸平方ほどのビラを、糊のたっぷりはいったバケツと一緒に両手で抱え、わかい天才は街の隅々まで駈けずり廻った。	鶴を讀め、鶴を讀めと激しい語句をいつばい刷り込んだ五寸平方ほどのビラを、糊のたつぷりはひつたバケツと一緒に兩手で抱へ、わかい天才は街の隅々まで駈けずり廻つた。
そんな訳ゆえ、彼はその翌日から町中のひとたちと知合いになってしまったのに何の不思議もなかった筈である。	そんな譯ゆゑ、彼はその翌日から町中のひとたちと知合ひになつてしまつたのに何の不思議もなかつた筈である。
彼はなおも街をぶらぶら歩きながら、誰かれとなくすべてのひとと目礼を交した。	彼はなほも街をぶらぶら歩きながら、誰かれとなくすべてのひとと默禮を交した。
運わるく彼の挨拶がむこうの不注意からそのひとに通じなかったときや、彼が昨晩ほね折って貼りつけたばかりの電柱のビラが無慙にも剥ぎとられているのを発見するときには、ことさらに仰山なしかめつらをするのであった。	運わるく彼の挨拶がむかうの不注意からそのひとに通じなかつたときや、彼が昨晩ほね折つて貼りつけたばかりの電柱のビラが無慙にも剥ぎとられてゐるのを發見するときには、ことさらに仰山なしかめつらをするのであつた。
やがて彼は、そのまちでいちばん大きい本屋にはいって、鶴が売れるかと、小僧に聞いた。	やがて彼は、そのまちでいちばん大きい本屋にはひつて、鶴が賣れるかと、小僧に聞いた。
小僧は、まだ一部も売れんです、とぶあいそに答えた。	小僧は、まだ一部も賣れんです、とぶあいそに答へた。
小僧は彼こそ著者であることを知らぬらしかった。	小僧は彼こそ著者であることを知らぬらしかつた。
彼はしょげずに、いやこれから売れると思うよ、となにげなさそうに予言して置いて、本屋を立ち去った。	彼はしよげずに、いやこれから賣れると思ふよ、となにげなささうに豫言して置いて、本屋を立ち去つた。
その夜、彼は、流石に幾分わずらわしくなった例の会釈を繰り返しつつ、学校の寮に帰って来たのである。	その夜、彼は、流石に幾分わづらはしくなつた例の會釋を繰り返しつつ、學校の寮に歸つて來たのである。
それほど輝かしい人生の門出の、第一夜に、鶴は早くも辱かしめられた。	それほど輝かしい人生の門出の、第一夜に、鶴は早くも辱かしめられた。
彼が夕食をとりに寮の食堂へ、ひとあし踏みこむや、わっという寮生たちの異様な喚声を聞いた。	彼が夕食をとりに寮の食堂へ、ひとあし踏みこむや、わつといふ寮生たちの異樣な喚聲を聞いた。
彼等の食卓で「鶴」が話題にされていたにちがいないのである。	彼等の食卓で「鶴」が話題にされてゐたにちがひないのである。
彼はつつましげに伏目をつかいながら、食堂の隅の椅子に腰をおろした。	彼はつつましげに伏目をつかひながら、食堂の隅の椅子に腰をおろした。
それから、ひくくせきばらいしてカツレツの皿をつついたのである。	それから、ひくくせきばらひしてカツレツの皿をつついたのである。
彼のすぐ右側に坐っていた寮生がいちまいの夕刊を彼のほうへのべて寄こした。	彼のすぐ右側に坐つてゐた寮生がいちまいの夕刊を彼のはうへのべて寄こした。
五六人さきの寮生から順々に手わたしされて来たものらしい。	五六人さきの寮生から順々に手わたしされて來たものらしい。
彼はカツレツをゆっくり噛み返しつつ、その夕刊へぼんやり眼を転じた。	彼はカツレツをゆつくり噛み返しつつ、その夕刊へぼんやり眼を轉じた。
「鶴」という一字が彼の眼を射た。	「鶴」といふ一字が彼の眼を射た。
ああ。	ああ。
おのれの処女作の評判をはじめて聞く、このつきさされるようなおののき。	おのれの處女作の評判をはじめて聞く、このつきさされるやうなをののき。
彼は、それでも、あわててその夕刊を手にとるようなことはしなかった。	彼は、それでも、あわててその夕刊を手にとるやうなことはしなかつた。
ナイフとフオクでもってカツレツを切り裂きながら、落ちついてその批評を、ちらちらはしり読みするのであった。	ナイフとフオクでもつてカツレツを切り裂きながら、落ちついてその批評を、ちらちらはしり讀みするのであつた。
批評は紙面のひだりの隅に小さく組まれていた。	批評は紙面のひだりの隅に小さく組まれてゐた。
――この小説は徹頭徹尾、観念的である。	――この小説は徹頭徹尾、觀念的である。
肉体のある人物がひとりとして描かれていない。	肉體のある人物がひとりとして描かれてゐない。
すべて、すり硝子越しに見えるゆがんだ影法師である。	すべて、すり硝子越しに見えるゆがんだ影法師である。
殊に主人公の思いあがった奇々怪々の言動は、落丁の多いエンサイクロペジアと全く似ている。	殊に主人公の思ひあがつた奇々怪々の言動は、落丁の多いエンサイクロペヂアと全く似てゐる。
この小説の主人公は、あしたにはゲエテを気取り、ゆうべにはクライストを唯一の教師とし、世界中のあらゆる文豪のエッセンスを持っているのだそうで、その少年時代にひとめ見た少女を死ぬほどしたい、青年時代にふたたびその少女とめぐり逢い、げろの出るほど嫌悪するのであるが、これはいずれバイロン卿あたりの飜案であろう。	この小説の主人公は、あしたにはゲエテを氣取り、ゆふべにはクライストを唯一の教師とし、世界中のあらゆる文豪のエツセンスを持つてゐるのださうで、その少年時代にひとめ見た少女を死ぬほどしたひ、青年時代にふたたびその少女とめぐり逢ひ、げろの出るほど嫌惡するのであるが、これはいづれバイロン卿あたりの飜案であらう。
しかも稚拙な直訳である。	しかも稚拙な直譯である。
だいいち作者は、ゲエテをもクライストをもただ型としての概念でだけ了解しているようである。	だいいち作者は、ゲエテをもクライストをもただ型としての概念でだけ了解してゐるやうである。
作者は、ファウストの一頁も、ペンテズイレエアの一幕も、おそらくは、読んだことがないのではあるまいか。	作者は、フアウストの一頁も、ペンテズイレエアの一幕も、おそらくは、讀んだことがないのではあるまいか。
失礼。	失禮。
ことにこの小説の末尾には、毛をむしられた鶴のばさばさした羽ばたきの音を描写しているのであるが、作者は或いはこの描写に依って、読者に完璧の印象を与え、傑作の眩惑を感じさせようとしたらしいが、私たちは、ただ、この畸形的な鶴の醜さに顔をそむける許りである。	ことにこの小説の末尾には、毛をむしられた鶴のばさばさした羽ばたきの音を描冩してゐるのであるが、作者は或ひはこの描冩に依つて、讀者に完璧の印象を與へ、傑作の眩惑を感じさせやうとしたらしいが、私たちは、ただ、この畸形的な鶴の醜さに顏をそむける許りである。
彼はカツレツを切りきざんでいた。	彼はカツレツを切りきざんでゐた。
平気に、平気に、と心掛ければ心掛けるほど、おのれの動作がへまになった。	平氣に、平氣に、と心掛ければ心掛けるほど、おのれの動作がへまになつた。
完璧の印象、傑作の眩惑。	完璧の印象。傑作の眩惑。
これが痛かった。	これが痛かつた。
声たてて笑おうか。	聲たてて笑はうか。
ああ。	ああ。
顔を伏せたままの、そのときの十分間で、彼は十年も年老いた。	顏を伏せたままの、そのときの十分間で、彼は十年も年老いた。
この心なき忠告は、いったいどんな男がして呉れたものか、彼にもいまもって判らぬのだが、彼はこの屈辱をくさびとして、さまざまの不幸に遭遇しはじめた。	この心なき忠告は、いつたいどんな男がして呉れたものか、彼にもいまもつて判らぬのだが、彼はこの屈辱をくさびとして、さまざまの不幸に遭遇しはじめた。
ほかの新聞社もやっぱり「鶴」をほめては呉れなかったし、友人たちもまた、世評どおりに彼をあしらい、彼を呼ぶに鶴という鳥類の名で以てした。	ほかの新聞社もやつぱり「鶴」をほめては呉れなかつたし、友人たちもまた、世評どほりに彼をあしらひ、彼を呼ぶに鶴といふ鳥類の名で以てした。
わかい群集は、英雄の失脚にも敏感である。	わかい群集は、英雄の失脚にも敏感である。
本は恥かしくて言えないほど僅少の部数しか売れなかった。	本は恥かしくて言へないほど僅少の部數しか賣れなかつた。
街をとおる人たちは、もとよりあかの他人にちがいなかった。	街をとほる人たちは、もとよりあかの他人にちがひなかつた。
彼は毎夜毎夜、まちの辻々のビラをひそかに剥いで廻った。	彼は毎夜毎夜、まちの辻々のビラをひそかに剥いで廻つた。
長編小説「鶴」は、その内容の物語とおなじく悲劇的な結末を告げたけれど、彼の心のなかに巣くっている野性の鶴は、それでも、なまなまと翼をのばし、芸術の不可解を嘆じたり、生活の倦怠を託ったり、その荒涼の現実のなかで思うさま懊悩呻吟することを覚えたわけである。	長編小説「鶴」は、その内容の物語とおなじく悲劇的な結末を告げたけれど、彼の心のなかに巣くつてゐる野性の鶴は、それでも、なまなまと翼をのばし、藝術の不可解を嘆じたり、生活の倦怠を託つたり、その荒涼の現實のなかで思ふさま懊惱呻吟することを覺えたわけである。
ほどなく冬季休暇にはいり、彼はいよいよ気むずかしくなって帰郷した。	ほどなく冬季休暇にはひり、彼はいよいよ氣むづかしくなつて歸郷した。
眉根に寄せられた皺も、どうやら彼に似合って来ていた。	眉根に寄せられた皺も、どうやら彼に似合つて來てゐた。
母はそれでも、れいの高等教育を信じて、彼をほれぼれと眺めるのであった。	母はそれでも、れいの高等教育を信じて、彼をほれぼれと眺めるのであつた。
父はその悪辣ぶった態度でもって彼を迎えた。	父はその惡辣ぶつた態度でもつて彼を迎へた。
善人どうしは、とかく憎しみ合うもののようである。	善人どうしは、とかく憎しみ合ふもののやうである。
彼は、父の無言のせせら笑いのかげに、あの新聞の読者を感じた。	彼は、父の無言のせせら笑ひのかげに、あの新聞の讀者を感じた。
父も読んだにちがいなかった。	父も讀んだにちがひなかつた。
たかが十行か二十行かの批評の活字がこんな田舎にまで毒を流しているのを知り、彼は、おのれのからだを岩か牝牛にしたかった。	たかが十行か二十行かの批評の活字がこんな田舍にまで毒を流してゐるのを知り、彼は、おのれのからだを岩か牝牛にしたかつた。
そんな場合、もし彼が、つぎのような風の便りを受けとったとしたなら、どうであろう。	そんな場合、もし彼が、つぎのやうな風の便りを受けとつたとしたなら、どうであらう。
やがて、ふるさとで十八の歳を送り、十九歳になった元旦、眼をさましてふと枕元に置かれてある十枚ほどの賀状に眼をとめたというのである。	やがて、ふるさとで十八の歳を送り、十九歳になつた元旦、眼をさましてふと枕元に置かれてある十枚ほどの賀状に眼をとめたといふのである。
そのうちのいちまい、差出人の名も記されてないこれは葉書。	そのうちのいちまい、差出人の名も記されてないこれは葉書。
――私、べつに悪いことをするのでないから、わざと葉書に書くの。	――私、べつに惡いことをするのでないから、わざと葉書に書くの。
またそろそろおしょげになって居られるころと思います。	またそろそろおしよげになつて居られるころと思ひます。
あなたは、ちょっとしたことにでも、すぐおしょげなさるから、私、あんまり好きでないの。	あなたは、ちよつとしたことにでも、すぐおしよげなさるから、私、あんまり好きでないの。
誇りをうしなった男のすがたほど汚いものはないと思います。	誇りをうしなつた男のすがたほど汚いものはないと思ひます。
でもあなたは、けっして御自身をいじめないで下さいませ。	でもあなたは、けつして御自身をいぢめないで下さいませ。
あなたには、わるものへ手むかう心と、情にみちた世界をもとめる心とがおありです。	あなたには、わるものへ手むかふ心と、情にみちた世界をもとめる心とがおありです。
それは、あなたがだまっていても、遠いところにいる誰かひとりがきっと知って居ります。	それは、あなたがだまつてゐても、遠いところにゐる誰かひとりがきつと知つて居ります。
あなたは、ただすこし弱いだけです。	あなたは、ただすこし弱いだけです。
弱い正直なひとをみんなでかばってだいじにしてやらなければいけないと思います。	弱い正直なひとをみんなでかばつてだいじにしてやらなければいけないと思ひます。
あなたはちっとも有名でありませんし、また、なんの肩書をもお持ちでございません。	あなたはちつとも有名でありませんし、また、なんの肩書をもお持ちでございません。
でも私、おとといギリシャの神話を二十ばかり読んで、たのしい物語をひとつ見つけたのです。	でも私、をととひギリシヤの神話を二十ばかり讀んで、たのしい物語をひとつ見つけたのです。
