廃墟から	廃墟から
彼は汽車で広島へ通勤していたのだが、あの時は微傷だに受けず、その後も元気で活躍しているという通知があった矢さき、この死亡通知は、私を茫然とさせた。	彼は汽車で広島へ通勤してゐたのだが、あの時は微傷だに受けず、その後も元気で活躍してゐるといふ通知があつた矢さき、この死亡通知は、私を茫然とさせた。
何か広島にはまだ有害な物質があるらしく、田舎から元気で出掛けて行った人も帰りにはフラフラになって戻って来るということであった。	何か広島にはまだ有害な物質があるらしく、田舎から元気で出掛けて行つた人も帰りにはフラフラになつて戻つて来るといふことであつた。
舟入川口町の姉は、夫と息子の両方の看病にほとほと疲れ、彼女も寝込んでしまったので、再びこちらの妹に応援を求めて来た。	舟入川口町の姉は、夫と息子の両方の看病にほとほと疲れ、彼女も寝込んでしまつたので、再びこちらの妹に応援を求めて来た。
その妹が広島へ出掛けた翌日のことであった。	その妹が広島へ出掛けた翌日のことであつた。
ラジオは昼間から颱風を警告していたが、夕暮とともに風が募って来た。	ラジオは昼間から颱風を警告してゐたが、夕暮とともに風が募つて来た。
風はひどい雨を伴い真暗な夜の怒号と化した。	風はひどい雨を伴ひ真暗な夜の怒号と化した。
私が二階でうとうと睡っていると、下の方ではけたたましく雨戸をあける音がして、田の方に人声が頻りであった。	私が二階でうとうと睡つてゐると、下の方ではけたたましく雨戸をあける音がして、田の方に人声が頻りであつた。
ザザザと水の軋るような音がする。	ザザザと水の軋るやうな音がする。
堤が崩れたのである。	堤が崩れたのである。
そのうちに次兄達は母屋の方へ避難するため、私を呼び起した。	そのうちに次兄達は母屋の方へ避難するため、私を呼び起した。
まだ足腰の立たない甥を夜具のまま抱えて、暗い廊下を伝って、母屋の方へ運んで行った。	まだ足腰の立たない甥を夜具のまま抱へて、暗い廊下を伝つて、母屋の方へ運んで行つた。
そこにはみんな起きていて不安な面持であった。	そこにはみんな起きてゐて不安な面持であつた。
その川の堤が崩れるなど、絶えて久しくなかったことらしい。	その川の堤が崩れるなど、絶えて久しくなかつたことらしい。
「戦争に負けると、こんなことになるのでしょうか」と農家の主婦は嘆息した。	「戦争に負けると、こんなことになるのでせうか」と農家の主婦は嘆息した。
風は母屋の表戸を烈しく揺すぶった。	風は母屋の表戸を烈しく揺すぶつた。
太い突かい棒がそこに支えられた。	太い突かひ棒がそこに支へられた。
翌朝、嵐はけろりと去っていた。	翌朝、嵐はけろりと去つてゐた。
その颱風の去った方向に稲の穂は悉く靡き、山の端には赤く濁った雲が漾っていた。	その颱風の去つた方向に稲の穂は悉く靡き、山の端には赤く濁つた雲が漾つてゐた。
――鉄道が不通になったとか、広島の橋梁が殆ど流されたとかいうことをきいたのは、それから二三日後のことであった。	――鉄道が不通になつたとか、広島の橋梁が殆ど流されたとかいふことをきいたのは、それから二三日後のことであつた。
私は妻の一周忌も近づいていたので、本郷町の方へ行きたいと思った。	私は妻の一周忌も近づいてゐたので、本郷町の方へ行きたいと思つた。
広島の寺は焼けてしまったが、妻の郷里には、彼女を最後まで看病ってくれた母がいるのであった。	広島の寺は焼けてしまつたが、妻の郷里には、彼女を最後まで看病つてくれた母がゐるのであつた。
が、鉄道は不通になったというし、その被害の程度も不明であった。	が、鉄道は不通になつたといふし、その被害の程度も不明であつた。
とにかく事情をもっと確かめるために廿日市駅へ行ってみた。	とにかく事情をもつと確かめるために廿日市駅へ行つてみた。
駅の壁には共同新聞が貼り出され、それに被害情況が書いてあった。	駅の壁には共同新聞が貼り出され、それに被害情況が書いてあつた。
列車は今のところ、大竹・安芸中野間を折返し運転しているらしく、全部の開通見込は不明だが、八本松・安芸中野間の開通見込が十月十日となっているので、これだけでも半月は汽車が通じないことになる。	列車は今のところ、大竹・安芸中野間を折返し運転してゐるらしく、全部の開通見込は不明だが、八本松・安芸中野間の開通見込が十月十日となつてゐるので、これだけでも半月は汽車が通じないことになる。
その新聞には県下の水害の数字も掲載してあったが、半月も列車が動かないなどということは破天荒のことであった。	その新聞には県下の水害の数字も掲載してあつたが、半月も列車が動かないなどといふことは破天荒のことであつた。
広島までの切符が買えたので、ふと私は広島駅へ行ってみることにした。	広島までの切符が買へたので、ふと私は広島駅へ行つてみることにした。
あの遭難以来、久し振りに訪れるところであった。	あの遭難以来、久振りに訪れるところであつた。
五日市まではなにごともないが、汽車が己斐駅に入る頃から、窓の外にもう戦禍の跡が少しずつ展望される。	五日市まではなにごともないが、汽車が己斐駅に入る頃から、窓の外にもう戦禍の跡が少しづつ展望される。
山の傾斜に松の木がゴロゴロと薙倒されているのも、あの時の震駭を物語っているようだ。	山の傾斜に松の木がゴロゴロと薙倒されてゐるのも、あの時の震駭を物語つてゐるやうだ。
屋根や垣がさっと転覆した勢をその儘とどめ、黒々とつづいているし、コンクリートの空洞や赤錆の鉄筋がところどころ入乱れている。	屋根や垣がさつと転覆した勢をその儘とどめ、黒々とつづいてゐるし、コンクリートの空洞や赤錆の鉄筋がところどころ入乱れてゐる。
横川駅はわずかに乗り降りのホームを残しているだけであった。	横川駅はわづかに乗り降りのホームを残してゐるだけであつた。
そして、汽車は更に激しい壊滅区域に這入って行った。	そして、汽車は更に激しい壊滅区域に這入つて行つた。
はじめてここを通過する旅客はただただ驚きの目を瞠るのであったが、私にとってはあの日の余燼がまだすぐそこに感じられるのであった。	はじめてここを通過する旅客はただただ驚きの目を瞠るのであつたが、私にとつてはあの日の余燼がまだすぐそこに感じられるのであつた。
汽車は鉄橋にかかり、常盤橋が見えて来た。	汽車は鉄橋にかかり、常盤橋が見えて来た。
焼爛れた岸をめぐって、黒焦の巨木は天を引掻こうとしているし、涯てしもない燃えがらの塊は蜿蜒と起伏している。	焼爛れた岸をめぐつて、黒焦の巨木は天を引掻かうとしてゐるし、涯てしもない燃えがらの塊は蜿蜒と起伏してゐる。
私はあの日、ここの河原で、言語に絶する人間の苦悩を見せつけられたのだが、だが、今、川の水は静かに澄んで流れているのだ。	私はあの日、ここの河原で、言語に絶する人間の苦悶を見せつけられたのだが、だが、今、川の水は静かに澄んで流れてゐるのだ。
そして、欄干の吹飛ばされた橋の上を、生きのびた人々が今ぞろぞろと歩いている。	そして、欄杆の吹飛ばされた橋の上を、生きのびた人々が今ぞろぞろと歩いてゐる。
饒津公園を過ぎて、東練兵場の焼野が見え、小高いところに東照宮の石の階段が、何かぞっとする悪夢の断片のように閃いて見えた。	饒津公園を過ぎて、東練兵場の焼野が見え、小高いところに東照宮の石の階段が、何かぞつとする悪夢の断片のやうに閃いて見えた。
つぎつぎに死んでゆく夥しい負傷者の中にまじって、私はあの境内で野宿したのだった。	つぎつぎに死んでゆく夥しい負傷者の中にまじつて、私はあの境内で野宿したのだつた。
あの、まっ黒の記憶は向うに見える石段にまざまざと刻みつけられてあるようだ。	あの、まつ黒の記憶は向に見える石段にまだまざまざと刻みつけられてあるやうだ。
広島駅で下車すると、私は宇品行のバスの行列に加わっていた。	広島駅で下車すると、私は宇品行のバスの行列に加はつてゐた。
宇品から汽船で尾道へ出れば、尾道から汽車で本郷に行けるのだが、汽船があるものかどうかも宇品まで行って確かめてみなければ判らない。	宇品から汽船で尾道へ出れば、尾道から汽車で本郷に行けるのだが、汽船があるものかどうかも宇品まで行つて確かめてみなければ判らない。
このバスは二時間おきに出るのに、これに乗ろうとする人は数町も続いていた。	このバスは二時間おきに出るのに、これに乗らうとする人は数丁も続いてゐた。
暑い日が頭上に照り、日陰のない広場に人の列は動かなかった。	暑い日が頭上に照り、日蔭のない広場に人の列は動かなかつた。
今から宇品まで行って来たのでは、帰りの汽車に間に合わなくなる。	今から宇品まで行つて来たのでは、帰りの汽車に間に合はなくなる。
そこで私は断念して、行列を離れた。	そこで私は断念して、行列を離れた。
家の跡を見て来ようと思って、私は猿猴橋を渡り、幟町の方へまっすぐに路を進んだ。	家の跡を見て来ようと思つて、私は猿猴橋を渡り、幟町の方へまつすぐに路を進んだ。
左右にある廃墟が、何だかまだあの時の逃げのびて行く気持を呼起すのだった。	左右にある廃墟が、何だかまだあの時の逃げのびて行く気持を呼起すのだつた。
京橋にかかると、何もない焼跡の堤が一目に見渡せ、ものの距離が以前より遙かに短縮されているのであった。	京橋にかかると、何もない焼跡の堤が一目に見渡せ、ものの距離が以前より遙かに短縮されてゐるのであつた。
そういえば累々たる廃墟の彼方に山脈の姿がはっきり浮び出ているのも、先程から気づいていた。	さういへば、※々たる廃墟の彼方に山脈の姿がはつきり浮び出てゐるのも、先程から気づいてゐた。
どこまで行っても同じような焼跡ながら、夥しいガラス壜が気味悪く残っている処や、鉄兜ばかりが一ところに吹寄せられている処もあった。	どこまで行つても同じやうな焼跡ながら、夥しいガラス壜が気味悪く残つてゐる処や、鉄兜ばかりが一ところに吹寄せられてゐる処もあつた。
私はぼんやりと家の跡に佇み、あの時逃げて行った方角を考えてみた。	私はぼんやりと家の跡に佇み、あの時逃げて行つた方角を考へてみた。
庭石や池があざやかに残っていて、焼けた樹木は殆ど何の木であったか見わけもつかない。	庭石や池があざやかに残つてゐて、焼けた樹木は殆ど何の木であつたか見わけもつかない。
台所の流場のタイルは壊れないで残っていた。	台所の流場のタイルは壊れないで残つてゐた。
栓は飛散っていたが、頻りにその鉄管から今も水が流れているのだ。	栓は飛散つてゐたが、頻りにその鉄管から今も水が流れてゐるのだ。
あの時、家が崩壊した直後、私はこの水で顔の血を洗ったのだった。	あの時、家が崩壊した直後、私はこの水で顔の血を洗つたのだつた。
いま私が佇んでいる路には、時折人通りもあったが、私は暫くものに憑かれたような気分でいた。	いま私が佇んでゐる路には、時折人通りもあつたが、私は暫くものに憑かれたやうな気分でゐた。
それから再び駅の方へ引返して行くと、何処からともなく、宿なし犬が現れて来た。	それから再び駅の方へ引返して行くと、何処からともなく、宿なし犬が現れて来た。
そのものに脅えたような燃える眼は、奇異な表情を湛えていて、前になり後になり迷い乍ら従いてくるのであった。	そのものに脅えたやうな燃える眼は、奇異な表情を湛へてゐて、前になり後になり迷ひ乍ら従いてくるのであつた。
汽車の時間まで一時間あったが、日陰のない広場にはあかあかと西日が溢れていた。	汽車の時間まで一時間あつたが、日蔭のない広場にはあかあかと西日が溢れてゐた。
外郭だけ残っている駅の建物は黒く空洞で、今にも崩れそうな印象を与えるのだが、針金を張巡らし、「危険につき入るべからず」と貼紙が掲げてある。	外郭だけ残つてゐる駅の建物は黒く空洞で、今にも崩れそうな印象を与へるのだが、針金を張巡らし、「危険につき入るべからず」と貼紙が掲げてある。
切符売場の、テント張りの屋根は石塊で留めてある。	切符売場の、テント張りの屋根は石塊で留めてある。
あちこちにボロボロの服装をした男女が蹲っていたが、どの人間のまわりにも蠅がうるさく附纏っていた。	あちこちにボロボロの服装をした男女が蹲つてゐたが、どの人間のまはりにも蠅がうるさく附纏つてゐた。
蠅は先日の豪雨でかなり減少した筈だが、まだまだ猛威を振っているのであった。	蠅は先日の豪雨でかなり減少した筈だが、まだまだ猛威を振つてゐるのであつた。
が、地べたに両足を投出して、黒いものをパクついている男達はもうすべてのことがらに無頓着になっているらしく、「昨日は五里歩いた」「今夜はどこで野宿するやら」と他人事のように話合っていた。	が、地べたに両足を投出して、黒いものをパクついてゐる男達はもうすべてのことがらに無頓着になつてゐるらしく、「昨日は五里歩いた」「今夜はどこで野宿するやら」と他人事のやうに話合つてゐた。
私の眼の前にきょとんとした顔つきの老婆が近づいて来て、	私の眼の前にきよとんとした顔つきの老婆が近づいて来て、
「汽車はまだ出ませんか、切符はどこで切るのですか」と剽軽な調子で訊ねる。	「汽車はまだ出ませんか、切符はどこで切るのですか」と剽軽な調子で訊ねる。
私が教えてやる前に、老婆は「あ、そうですか」と礼を云って立去ってしまった。	私が教へてやる前に、老婆は「あ、さうですか」と礼を云つて立去つてしまつた。
これも調子が狂っているにちがいない。	これも調子が狂つてゐるのにちがひない。
下駄ばきの足をひどく腫らした老人が、連れの老人に対って何か力なく話しかけていた。	下駄ばきの足をひどく腫らした老人が、連れの老人に対つて何か力なく話しかけてゐた。
私はその日、帰りの汽車の中でふと、呉線は明日から試運転をするということを耳にしたので、その翌々日、呉線経由で本郷へ行くつもりで再び廿日市の方へ出掛けた。	私はその日、帰りの汽車の中でふと、呉線は明日から試運転をするといふことを耳にしたので、その翌々日、呉線経由で本郷へ行くつもりで再び廿日市の方へ出掛けた。
が、汽車の時間をとりはずしていたので、電車で己斐へ出た。	が、汽車の時間をとりはづしてゐたので、電車で己斐へ出た。
ここまで来ると、一そ宇品へ出ようと思ったが、ここからさき、電車は鉄橋が墜ちているので、渡舟によって連絡していて、その渡しに乗るにはものの一時間は暇どるということをきいた。	ここまで来ると、一そ宇品へ出ようと思つたが、ここからさき、電車は鉄橋が墜ちてゐるので、渡舟によつて連絡してゐて、その渡しに乗るにはものの一時間は暇どるといふことをきいた。
そこで私はまた広島駅に行くことにして、己斐駅のベンチに腰を下ろした。	そこで私はまた広島駅に行くことにして、己斐駅のベンチに腰を下ろした。
その狭い場所は種々雑多の人で雑沓していた。	その狭い場所は種々雑多の人で雑沓してゐた。
今朝｜尾道から汽船でやって来たという人もいたし、柳井津で船を下ろされ徒歩でここまで来たという人もいた。	今朝尾道から汽船でやつて来たといふ人もゐたし、柳井津で船を下ろされ徒歩でここまで来たといふ人もゐた。
人の言うことはまちまちで分らない、結局行ってみなければどこがどうなっているのやら分らない、と云いながら人々はお互に行先のことを訊ね合っているのであった。	人の言ふことはまちまちで分らない、結局行つてみなければどこがどうなつてゐるのやら分らない、と云ひながら人々はお互に行先のことを訊ね合つてゐるのであつた。
そのなかに大きな荷を抱えた復員兵が五六人いたが、ギロリとした眼つきの男が袋をひらいて、靴下に入れた白米を側にいるおかみさんに無理矢理に手渡した。	そのなかに大きな荷を抱へた復員兵が五六人ゐたが、ギロリとした眼つきの男が袋をひらいて、靴下に入れた白米を側にゐるおかみさんに無理矢理に手渡した。
「気の毒だからな、これから遺骨を迎えに行くときいては見捨ててはおけない」と彼は独言を云った。	「気の毒だからな、これから遺骨を迎へに行くときいては見捨ててはおけない」と彼は独言を云つた。
すると、「私にも米を売ってくれませんか」という男が現れた。	すると、「私にも米を売つてくれませんか」といふ男が現れた。
ギロリとした眼つきの男は、	ギロリとした眼つきの男は、
「とんでもない、俺達は朝鮮から帰って来て、まだ東京まで行くのだぜ、道々十里も二十里も歩かねばならないのだ」と云いながら、毛布を取出して、「これでも売るかな」と呟くのであった。	「とんでもない、俺達は朝鮮から帰つて来て、まだ東京まで行くのだぜ、道々十里も二十里も歩かねばならないのだ」と云ひながら、毛布を取出して、「これでも売るかな」と呟くのであつた。
広島駅に来てみると、呉線開通は虚報であることが判った。	広島駅に来てみると、呉線開通は虚報であることが判つた。
私は茫然としたが、ふと舟入川口町の姉の家を見舞おうと思いついた。	私は茫然としたが、ふと舟入川口町の姉の家を見舞はうと思ひついた。
八丁堀から土橋まで単線の電車があった。	八丁堀から土橋まで単線の電車があつた。
土橋から江波の方へ私は焼跡をたどった。	土橋から江波の方へ私は焼跡をたどつた。
焼け残りの電車が一台放置してあるほかは、なかなか家らしいものは見当らなかった。	焼け残りの電車が一台放置してあるほかは、なかなか家らしいものは見当らなかつた。
漸く畑が見え、向うに焼けのこりの一郭が見えて来た。	漸く畑が見え、向に焼けのこりの一郭が見えて来た。
火はすぐ畑の側まで襲って来ていたものらしく、際どい処で、姉の家は助かっている。	火はすぐ畑の側まで襲つて来てゐたものらしく、際どい処で、姉の家は助かつてゐる。
が、塀は歪み、屋根は裂け、表玄関は散乱していた。	が、塀は歪み、屋根は裂け、表玄関は散乱してゐた。
私は裏口から廻って、縁側のところへ出た。	私は裏口から廻つて、縁側のところへ出た。
すると、蚊帳の中に、姉と甥と妹とその三人が枕を並べて病臥しているのであった。	すると、蚊帳の中に、姉と甥と妹とその三人が枕を並べて病臥してゐるのであつた。
手助に行ってた妹もここで変調をきたし、二三日前から寝込んでいるのだった。	手助に行つてた妹もここで変調をきたし、二三日前から寝込んでゐるのだつた。
姉は私の来たことを知ると、	姉は私の来たことを知ると、
「どんな顔をしてるのか、こちらへ来て見せて頂だい、あんたも病気だったそうだが」と蚊帳の中から声をかけた。	「どんな顔をしてるのか、こちらへ来て見せて頂だい、あんたも病気だつたさうなが」と蚊帳の中から声をかけた。
話はあの時のことになった。	話はあの時のことになつた。
あの時、姉たちは運よく怪我もなかったが、甥は一寸負傷したので、手当を受けに江波まで出掛けた。	あの時、姉たちは運よく怪我もなかつたが、甥は一寸負傷したので、手当を受けに江波まで出掛けた。
ところが、それが却っていけなかったのだ。	ところが、それが却つていけなかつたのだ。
道々、もの凄い火傷者を見るにつけ、甥はすっかり気分が悪くなってしまい、それ以来元気がなくなったのである。	道々、もの凄い火傷者を見るにつけ、甥はすつかり気分が悪くなつてしまひ、それ以来元気がなくなつたのである。
あの夜、火の手はすぐ近くまで襲って来るので、病気の義兄は動かせなかったが、姉たちは壕の中で戦きつづけた。	あの夜、火の手はすぐ近くまで襲つて来るので、病気の義兄は動かせなかつたが、姉たちは壕の中で戦きつづけた。
それからまた、先日の颱風もここでは大変だった。	それからまた、先日の颱風もここでは大変だつた。
壊れている屋根が今にも吹飛ばされそうで、水は漏り、風は仮借なく隙間から飛込んで来、生きた気持はしなかったという。	壊れてゐる屋根が今にも吹飛ばされさうで、水は漏り、風は仮借なく隙間から飛込んで来、生きた気持はしなかつたといふ。
今も見上げると、天井の墜ちて露出している屋根裏に大きな隙間があるのであった。	今も見上げると、天井の墜ちて露出してゐる屋根裏に大きな隙間があるのであつた。
まだ此処では水道も出ず、電燈も点かず、夜も昼も物騒でならないという。	まだ此処では水道も出ず、電燈も点かず、夜も昼も物騒でならないといふ。
私は義兄に見舞を云おうと思って隣室へ行くと、壁の剥ち、柱の歪んだ部屋の片隅に小さな蚊帳が吊られて、そこに彼は寝ていた。	私は義兄に見舞を云はうと思つて隣室へ行くと、壁の剥ち、柱の歪んだ部屋の片隅に小さな蚊帳が吊られて、そこに彼は寝てゐた。
見ると熱があるのか、赤くむくんだ顔を茫然とさせ、私が声をかけても、ただ「つらい、つらい」と義兄は喘いでいるのであった。	見ると熱があるのか、赤くむくんだ顔を呆然とさせ、私が声をかけても、ただ「つらい、つらい」と義兄は喘いでゐるのであつた。
私は姉の家で二三時間休むと、広島駅に引返し、夕方廿日市へ戻ると、長兄の家に立寄った。	私は姉の家で二三時間休むと、広島駅に引返し、夕方廿日市へ戻ると、長兄の家に立寄つた。
思いがけなくも、妹の息子の史朗がここへ来ているのであった。	思ひがけなくも、妹の息子の史朗がここへ来てゐるのであつた。
彼が疎開していた処も、先日の水害で交通は遮断されていたが、先生に連れられて三日がかりで此処まで戻って来たのである。	彼が疎開してゐた処も、先日の水害で交通は遮断されてゐたが、先生に連れられて三日がかりで此処まで戻つて来たのである。
膝から踵の辺まで、蚤にやられた傷跡が無数にあったが、割と元気そうな顔つきであった。	膝から踵の辺まで、蚤にやられた傷跡が無数にあつたが、割りと元気さうな顔つきであつた。
明日彼を八幡村に連れて行くことにして、私はその晩長兄の家に泊めてもらった。	明日彼を八幡村に連れて行くことにして、私はその晩長兄の家に泊めてもらつた。
が、どういうものか睡苦しい夜であった。	が、どういふものか睡苦しい夜であつた。
焼跡のこまごました光景や、茫然とした人々の姿が睡れない頭に甦って来る。	焼跡のこまごました光景や、茫然とした人々の姿が睡れない頭に甦つて来る。
八丁堀から駅までバスに乗った時、ふとバスの窓に吹込んで来る風に、妙な臭いがあったのを私は思い出した。	八丁堀から駅までバスに乗つた時、ふとバスの窓に吹込んで来る風に、妙な臭ひがあつたのを私は思ひ出した。
あれは死臭にちがいなかった。	あれは死臭にちがひなかつた。
あけがたから雨の音がしていた。	あけがたから雨の音がしてゐた。
翌日、私は甥を連れて雨の中を八幡村へ帰って行った。	翌日、私は甥を連れて雨の中を八幡村へ帰つて行つた。
私についてとぼとぼ歩いて行く甥は跣であった。	私についてとぼとぼ歩いて行く甥は跣足であつた。
嫂は毎日絶え間なく、亡くした息子のことを嘆いた。	嫂は毎日絶え間なく、亡くした息子のことを嘆いた。
びしょびしょの狭い台所で、何かしながら呟いていることはそのことであった。	びしよびしよの狭い台所で、何かしながら呟いてゐることはそのことであつた。
もう少し早く疎開していたら荷物だって焼くのではなかったのに、と殆ど口癖になっていた。	もう少し早く疎開してゐたら荷物だつて焼くのではなかつたのに、と殆ど口癖になつてゐた。
黙ってきいている次兄は時々思いあまって怒鳴ることがある。	黙つてきいてゐる次兄は時々思ひあまつて呶鳴ることがある。
妹の息子は飢えに戦きながら、蝗など獲って喰った。	妹の息子は飢ゑに戦きながら、蝗など獲つて喰つた。
次兄の息子も二人、学童疎開に行っていたが、汽車が不通のためまだ戻って来なかった。	次兄の息子も二人、学童疎開に行つてゐたが、汽車が不通のためまだ戻つて来なかつた。
長い悪い天気が漸く恢復すると、秋晴の日が訪れた。	長い悪い天気が漸く恢復すると、秋晴の日が訪れた。
稲の穂が揺れ、村祭の太鼓の音が響いた。	稲の穂が揺れ、村祭の太鼓の音が響いた。
堤の路を村の人達は夢中で輿を担ぎ廻ったが、空腹の私達は茫然と見送るのであった。	堤の路を村の人達は夢中で輿を担ぎ廻つたが、空腹の私達は茫然と見送るのであつた。
ある朝、舟入川口町の義兄が死んだと通知があった。	ある朝、舟入川口町の義兄が死んだと通知があつた。
私と次兄は顔を見あわせ、葬式へ出掛けてゆく支度をした。	私と次兄は顔を見あはせ、葬式へ出掛けてゆく支度をした。
電車駅までの一里あまりの路を川に添って二人はすたすた歩いて行った。	電車駅までの一里あまりの路を川に添つて二人はすたすた歩いて行つた。
とうとう亡くなったか、と、やはり感慨に打たれないではいられなかった。	とうとう亡くなつたか、と、やはり感慨に打たれないではゐられなかつた。
私がこの春帰郷して義兄の事務所を訪れた時のことがまず目さきに浮んだ。	私がこの春帰郷して義兄の事務所を訪れた時のことがまづ目さきに浮んだ。
彼は古びたオーバーを着込んで、「寒い、寒い」と顫えながら、生木の燻る火鉢に獅噛みついていた。	彼は古びたオーバーを着込んで、「寒い、寒い」と顫へながら、生木の燻る火鉢に獅噛みついてゐた。
言葉も態度もひどく弱々しくなっていて、滅きり老い込んでいた。	言葉も態度もひどく弱々しくなつてゐて、滅きり老い込んでゐた。
それから間もなく寝つくようになったのだ。	それから間もなく寝つくやうになつたのだ。
医師の診断では肺を犯されているということであったが、彼の以前を知っている人にはとても信じられないことではあった。	医師の診断では肺を犯されてゐるといふことであつたが、彼の以前を知つてゐる人にはとても信じられないことではあつた。
ある日、私が見舞に行くと、急に白髪の増えた頭を持あげ、いろんなことを喋った。	ある日、私が見舞に行くと、急に白髪の増えた頭を持あげ、いろんなことを喋つた。
彼はもうこの戦争が惨敗に近づいていることを予想し、国民は軍部に欺かれていたのだと微かに悲憤の声を洩らすのであった。	彼はもうこの戦争が惨敗に近づいてゐることを予想し、国民は軍部に欺かれてゐたのだと微かに悲憤の声を洩らすのであつた。
そんな言葉をこの人の口からきこうとは思いがけぬことであった。	そんな言葉をこの人の口からきかうとは思ひがけぬことであつた。
日華事変の始った頃、この人は酔っぱらって、ひどく私に絡んで来たことがある。	日華事変の始まつた頃、この人は酔ぱらつて、ひどく私に絡んで来たことがある。
長い間陸軍技師をしていた彼には、私のようなものはいつも気に喰わぬ存在と思えたのであろう。	長い間陸軍技師をしてゐた彼には、私のやうなものはいつも気に喰はぬ存在と思へたのであらう。
私はこの人の半生を、さまざまのことを憶えている。	私はこの人の半生を、さまざまのことを憶えてゐる。
この人のことについて書けば限りがないのであった。	この人のことについて書けば限りがないのであつた。
私達は己斐に出ると、市電に乗替えた。	私達は己斐に出ると、市電に乗替へた。
市電は天満町まで通じていて、そこから仮橋を渡って向岸へ徒歩で連絡するのであった。	市電は天満町まで通じてゐて、そこから仮橋を渡つて向岸へ徒歩で連絡するのであつた。
この仮橋もやっと昨日あたりから通れるようになったものと見えて、三尺幅の一人しか歩けない材木の上を人はおそるおそる歩いて行くのであった。	この仮橋もやつと昨日あたりから通れるやうになつたものと見えて、三尺幅の一人しか歩けない材木の上を人はおそるおそる歩いて行くのであつた。
（その後も鉄橋はなかなか復旧せず、徒歩連絡のこの地域には闇市が栄えるようになったのである。	（その後も鉄橋はなかなか復旧せず、徒歩連絡のこの地域には闇市が栄えるやうになつたのである。
）	）
私達が姉の家に着いたのは昼まえであった。	私達が姉の家に着いたのは昼まへであつた。
天井の墜ち、壁の裂けている客間に親戚の者が四五人集っていた。	天井の墜ち、壁の裂けてゐる客間に親戚の者が四五人集まつてゐた。
姉は皆の顔を見ると、「あれも子供達に食べさせたいばっかしに、自分は弁当を持って行かず、雑炊食堂を歩いて昼餉をすませていたのです」と泣いた。	姉は皆の顔を見ると、「あれも子供達に食べさせたいばつかしに、自分は弁当を持つて行かず、雑炊食堂を歩いて昼餉をすませてゐたのです」と泣いた。
義兄は次の間に白布で被われていた。	義兄は次の間に白布で被はれてゐた。
その死顔は火鉢の中に残っている白い炭を聯想さすのであった。	その死顔は火鉢の中に残つてゐる白い炭を連想さすのであつた。
遅くなると電車も無くなるので、火葬は明るいうちに済まさねばならなかった。	遅くなると電車も無くなるので、火葬は明るいうちに済まさねばならなかつた。
近所の人が死骸を運び、準備を整えた。	近所の人が死体を運び、準備を整へた。
やがて皆は姉の家を出て、そこから四五町さきの畑の方へ歩いて行った。	やがて皆は姉の家を出て、そこから四五町さきの畑の方へ歩いて行つた。
畑のはずれにある空地に義兄は棺もなくシイツにくるまれたまま運ばれていた。	畑のはづれにある空地に義兄は棺もなくシイツにくるまれたまま運ばれてゐた。
ここは原子爆弾以来、多くの屍体が焼かれる場所で、焚つけは家屋の壊れた破片が積重ねてあった。	ここは原子爆弾以来、多くの屍体が焼かれる場所で、焚つけは家屋の壊れた破片が積重ねてあつた。
皆が義兄を中心に円陣を作ると、国民服の僧が読経をあげ、藁に火が点けられた。	皆が義兄を中心に円陣を作ると、国民服の僧が読経をあげ、藁に火が点けられた。
すると十歳になる義兄の息子がこの時わーッと泣きだした。	すると十歳になる義兄の息子がこの時わーツと泣きだした。
火はしめやかに材木に燃え移って行った。	火はしめやかに材木に燃え移つて行つた。
雨もよいの空はもう刻々と薄暗くなっていた。	雨もよひの空はもう刻々と薄暗くなつてゐた。
私達はそこで別れを告げると、帰りを急いだ。	私達はそこで別れを告げると、帰りを急いだ。
私と次兄とは川の堤に出て、天満町の仮橋の方へ路を急いだ。	私と次兄とは川の堤に出て、天満町の仮橋の方へ路を急いだ。
足許の川はすっかり暗くなっていたし、片方に展がっている焼跡には灯一つも見えなかった。	足許の川はすつかり暗くなつてゐたし、片方に展がつてゐる焼跡には灯一つも見えなかつた。
暗い小寒い路が長かった。	暗い小寒い路が長かつた。
どこからともなしに死臭の漾って来るのが感じられた。	どこからともなしに死臭の漾つて来るのが感じられた。
このあたり家の下敷になった儘とり片づけてない屍体がまだ無数にあり、蛆の発生地となっているということを聞いたのはもう大分以前のことであったが、真黒な焼跡は今も陰々と人を脅かすようであった。	このあたり家の下敷になつた儘とり片づけてない屍体がまだ無数にあり、蛆の発生地となつてゐるといふことを聞いたのはもう大分以前のことであつたが、真黒な焼跡は今も陰々と人を脅すやうであつた。
ふと、私はかすかに赤ん坊の泣声をきいた。	ふと、私はかすかに赤ん坊の泣声をきいた。
耳の迷いでもなく、だんだんその声は歩いて行くに随ってはっきりして来た。	耳の迷ひでもなく、だんだんその声は歩いて行くに随つてはつきりして来た。
勢のいい、悲しげな、しかし、これは何という初々しい声であろう。	勢のいい、悲しげな、しかし、これは何といふ初々しい声であらう。
このあたりにもう人間は生活を営み、赤ん坊さえ泣いているのであろうか。	このあたりにもう人間は生活を営み、赤ん坊さへ泣いてゐるのであらうか。
何ともいいしれぬ感情が私の腸を抉るのであった。	何ともいひしれぬ感情が私の腸を抉るのであつた。
