化鳥	化鳥
夜中に月が明い時、寺の門を叩いたこともあったそうだし、人の庖厨へ忍び込んで、鍋の大いのと飯櫃を大屋根へ持って、あがって、手掴で食べたこともあったそうだし、ひらひらと青いなかから紅い切のこぼれている、うつくしい鳥の袂を引張って、遥に見える山を指して気絶さしたこともあったそうなり、私の覚えてからも一度誰かが、縄を切ってやったことがあった。	夜中に月が明い時寺の門を叩いたこともあつたさうだし、人の庖厨へ忍び込んで、鍋の大いのと飯櫃を大屋根へ持つてあがつて、手掴で食べたこともあつたさうだし、ひら／＼と青いなかから紅い切のこぼれて居る、うつくしい鳥の袂を引張つて、遙かに見える山を指して気絶さしたこともあつたさうなり、私の覚えてからも一度誰かが、繩を切つてやつたことがあつた。
その時はこの時雨榎の枝の両股になってる処に、仰向に寝転んでいて、烏の脛を捕えた。それから畚に入れてある、あのしめじ蕈が釣った、沙魚をぶちまけて、散々悪巫山戯をした挙句が、橋の詰の浮世床のおじさんに掴まって、額の毛を真四角に鋏まれた、それで堪忍をして追放したんだそうだのに、夜が明けて見ると、また平時の処に棒杭にちゃんと結えてあッた。	其時はこの時雨榎の枝の両股になつてる処に、仰向に寝転んで居て、烏の脛を捕へた、それから畚に入れてある、あのしめぢ蕈が釣つた、沙魚をぶちまけて、散々悪巫山戯をした揚句が、橋の詰の浮世床のおぢさんに掴まつて、顔の毛を真四角に鋏まれた、それで堪忍をして追放したんださうなのに、夜が明けて見ると、また平時の処に棒杭にちやんと結へてあツた。
蛇籠の上の、石垣の中ほどで、上の堤防には柳の切株がある処。	蛇籠の上の、石垣の中ほどで、上の堤防には柳の切株がある処。	
またはじまった、この通りに猿をつかまえてここへ縛っとくのは誰だろう誰だろうッて一しきり騒いだのを私は知っている。	またはじまつた、此通りに猿をつかまへて此処へ縛つとくのは誰だらう／＼ツて、一しきり騒いだのを私は知つて居る。
で、この猿には出処がある。	で、此猿には出処がある。
それは母様が御存じで、私にお話しなすった。	其は母様が御存じで、私にお話しなすツた。
八九年前のこと、私がまだ母様のお腹ん中に小さくなっていた時分なんで、正月、春のはじめのことであった。	八九年｜前のこと、私がまだ母様のお腹ん中に小さくなつて居た時分なんで、正月、春のはじめのことであつた。
今はただ広い世の中に母様と、やがて、私のものといったら、この番小屋と仮橋の他にはないが、その時分はこの橋ほどのものは、邸の庭の中の一ツの眺望に過ぎないのであったそうで。今、市の人が春、夏、秋、冬、遊山に来る、桜山も、桃谷も、あの梅林も、菖蒲の池も皆父様ので、頬白だの、目白だの、山雀だのが、この窓から堤防の岸や、柳の下や、蛇籠の上に居るのが見える、その身体の色ばかりがそれである、小鳥ではない、ほんとうの可愛らしい、うつくしいのがちょうどこんな工合に朱塗の欄干のついた二階の窓から見えたそうで。	今は唯広い世の中に母様と、やがて、私のものといつたら、此番小屋と仮橋の他にはないが、其時分は此橋ほどのものは、邸の庭の中の一ツの眺望に過ぎないのであつたさうで、今市の人が春、夏、秋、冬、遊山に来る、桜山も、桃谷も、あの梅林も、菖蒲の池も皆父様ので、頬白だの、目白だの、山雀だのが、この窓から堤防の岸や、柳の下や、蛇籠の上に居るのが見える、其身体の色ばかりが其である、小鳥ではない、ほんとうの可愛らしい、うつくしいのがちやうどこんな工合に朱塗の欄干のついた二階の窓から見えたさうで。
今日はまだお言いでないが、こういう雨の降って淋しい時なぞは、その時分のことをいつでもいってお聞かせだ。	今日はまだおいひでないが、かういふ雨の降つて淋しい時なぞは、其時分のことをいつでもいつてお聞かせだ。
六	
今ではそんな楽しい、うつくしい、花園がないかわり、前に橋銭を受取る笊の置いてある、この小さな窓から風がわりな猪だの、希代な蕈だの、不思議な猿だの、まだその他に人の顔をした鳥だの、獣だのが、いくらでも見えるから、ちっとは思出になるといっちゃあ、アノ笑顔をおしなので、私もそう思って見るせいか、人があるいて行く時、片足をあげた処は一本脚の鳥のようでおもしろい。人の笑うのを見ると獣が大きな赤い口をあけたよと思っておもしろい。	今ではそんな楽しい、うつくしい、花園がないかはり、前に橋銭を受取る笊の置いてある、この小さな窓から風がはりな猪だの、奇躰な簟だの、不思議な猿だの、まだ其他に人の顔をした鳥だの、獣だのが、いくらでも見えるから、ちつとは思出になるトいつちやあ、アノ笑顔をおしなので、私もさう思つて見る故か、人があるいて行く時、片足をあげた処は一本脚の鳥のやうでおもしろい、人の笑ふのを見ると獣が大きな赤い口をあけたよと思つておもしろい、
みいちゃんがものをいうと、おや小鳥が囀るかとそう思っておかしいのだ。	みいちやんがものをいふと、おや小鳥が囀るかトさう思つてをかしいのだ。
で、何でも、おもしろくッて、おかしくッて、吹出さずには居られない。	で、何でもおもしろくツてをかしくツて吹出さずには居られない。
だけれど今しがたも母様がおいひの通り、こんないゝことを知つてるのは、母様と私ばかりで何うして、みいちやんだの、吉公だの、それから学校の女の先生なんぞに教へたつて分るものか。	だけれど今しがたも母様がおいいの通り、こんないいことを知ってるのは、母様と私ばかりで、どうして、みいちゃんだの、吉公だの、それから学校の女の先生なんぞに教えたって分るものか。
人に踏まれたり、蹴られたり、後足で砂をかけられたり、苛められて責まれて、煮湯を飲ませられて、砂を浴せられて、鞭うたれて、朝から晩まで泣通しで、咽喉がかれて、血を吐いて、消えてしまいそうになってる処を、人に高見で見物されて、おもしろがられて、笑われて、慰にされて、嬉しがられて、眼が血走って、髪が動いて、唇が破れた処で、口惜しい、口惜しい、口惜しい、口惜しい、蓄生め、獣めと始終そう思って、五年も八年も経たなければ、ほんとうに分ることではない、覚えられることではないんだそうで、お亡んなすった、父様とこの母様とが聞いても身震がするような、そういう酷いめに、苦しい、痛い、苦しい、辛い、惨酷なめに逢って、そうしてようようお分りになったのを、すっかり私に教えて下すったので、私はただ母ちゃん母ちゃんてッて母様の肩をつかまえたり、膝にのっかったり、針箱の引出を交ぜかえしたり、物さしをまわしてみたり、裁縫の衣服を天窓から被ってみたり、叱られて遁げ出したりしていて、それでちゃんと教えて頂いて、それをば覚えて分ってから、何でも、鳥だの、獣だの、草だの、木だの、虫だの、蕈だのに人が見えるのだから、こんなおもしろい、結構なことはない。	人に踏まれたり、蹴られたり、後足で砂をかけられたり、苛められて責まれて、熱湯を飲ませられて、砂を浴せられて、鞭うたれて、朝から晩まで泣通しで、咽喉がかれて、血を吐いて、消えてしまいさうになつてる処を、人に高見で見物されて、おもしろがられて、笑はれて、慰にされて、嬉しがられて、眼が血走つて、髪が動いて、唇が破れた処で、口惜しい、口惜しい、口惜しい、口惜しい、畜生め、獣め、ト始終さう思つて、五｜年も八｜年も経たなければ、真個に分ることではない、覚えられることではないんださうで、お亡んなすつた、父様トこの母様とが聞いても身震がするやうな、そういふ酷いめに、苦しい、痛い、苦しい、辛い、惨刻なめに逢つて、さうしてやう／＼お分りになつたのを、すつかり私に教へて下すつたので。私はたゞ母ちやん／＼てツて母様の肩をつかまいたり、膝にのつかつたり、針箱の引出を交ぜかへしたり、物さしをまはして見たり、縫裁の衣服を天窓から被つて見たり、叱られて逃げ出したりして居て、それでちやんと教へて頂いて、其をば覚えて分つてから、何でも鳥だの、獣だの、草だの、木だの、虫だの、簟だのに人が見えるのだからこんなおもしろい、結構なことはない。
しかし私にこういういいことを教えて下すった母様は、とそう思う時は鬱ぎました。	しかし私にかういふいゝことを教へて下すつた母様は、とさう思ふ時は鬱ぎました。
これはちっともおもしろくなくって悲しかった、勿体ない、とそう思った。	これはちつともおもしろくなくつて悲しかつた、勿体ないとさう思つた。
だって母様がおろそかに聞いてはなりません。	だつて母様がおろそかに聞いてはなりません。
私がそれほどの思をしてようようお前に教えらるるようになったんだから、うかつに聞いていては罰があたります。	私がそれほどの思をしてやう／＼お前に教へらるゝやうになつたんだから、うかつに聞いて居ては罰があたります。
人間も、鳥獣も草木も、昆虫類も、皆形こそ変っていてもおんなじほどのものだということを。	人間も鳥獣も草木も、混虫類も皆形こそ変つて居てもおんなじほどのものだといふことを。
とこうおっしゃるんだから。	トかうおつしやるんだから。
私はいつも手をついて聞きました。	私はいつも手をついて聞きました。
で、はじめの内はどうしても人が、鳥や、獣とは思われないで、優しくされれば嬉しかった、叱られると恐かった、泣いてると可哀相だった、そしていろんなことを思った。	で、はじめの内は何うしても人が鳥や、獣とは思はれないで、優しくされれば嬉しかつた、叱られると恐かつた、泣いてると可哀想だつた、そしていろんなことを思つた。
そのたびにそういって母様にきいてみると何、皆鳥が囀ってるんだの、犬が吠えるんだの、あの、猿が歯を剥くんだの、木が身ぶるいをするんだのとちっとも違ったことはないって、そうおっしゃるけれど、やっぱりそうばかりは思われないで、いじめられて泣いたり、撫でられて嬉しかったりしいしいしたのを、その都度母様に教えられて、今じゃあモウ何とも思っていない。	其たびにさういつて母様にきいて見るト何、皆鳥が囀つてるんだの、犬が吠えるんだの、あの、猿が歯を剥くんだの、木が身ぶるいをするんだのとちつとも違つたことはないツて、さうおつしやるけれど、矢張さうばかりは思はれないで、いぢめられて泣いたり、撫でられて嬉しかつたりしい／＼したのを、其都度母様に教へられて、今じやあモウ何とも思つて居ない。
そしてまだああ濡れては寒いだろう、冷たいだろうと、さきのように雨に濡れてびしょびしょ行くのを見ると気の毒だったり、釣をしている人がおもしろそうだとそう思ったりなんぞしたのが、この節じゃもう、ただ、変な蕈だ、妙な猪だと、おかしいばかりである、おもしろいばかりである、つまらないばかりである、見ッともないばかりである、馬鹿々々しいばかりである、それからみいちゃんのようなのは可愛らしいのである、吉公のようなのはうつくしいのである、けれどもそれは紅雀がうつくしいのと、目白が可愛らしいのとちっとも違いはせぬので、うつくしい、可愛らしい。	そしてまだ如彼濡れては寒いだらう、冷たいだらうと、さきのやうに雨に濡れてびしよ／＼行くのを見ると気の毒だつたり、釣をして居る人がおもしろさうだとさう思つたりなんぞしたのが、此節じやもう唯変な簟だ、妙な猪の王様だと、をかしいばかりである、おもしろいばかりである、つまらないばかりである、見ツともないばかりである、馬鹿々々しいばかりである、それからみいちやんのやうなのは可愛らしいのである、吉公のやうなのはうつくしいのである、けれどもそれは紅雀がうつくしいのと、目白が可愛らしいのと些少も違ひはせぬので、うつくしい、可愛らしい。
うつくしい、可愛らしい。	うつくしい、可愛らしい。
七	第七
また憎らしいのがある、	また憎らしいのがある。
腹立たしいのも他にあるけれども、それも一場合に猿が憎らしかったり、鳥が腹立たしかったりするのとかわりは無いので。	腹立たしいのも他にあるけれども其も一場合に猿が憎らしかつたり、鳥が腹立たしかつたりするのとかはりは無いので、
詮ずれば皆おかしいばかり、やっぱり噴飯材料なんで、別に取留めたことがありはしなかった。	煎ずれば皆をかしいばかり、矢張噴飯材料なんで、別に取留めたことがありはしなかつた。
で、つまり情を動かされて、悲む、愁うる、楽む、喜ぶなどいうことは、時に因り場合においての母様ばかりなので。	で、つまり情を動かされて、悲む、愁うる、楽む、喜ぶなどいふことは、時に因り場合に於ての母様ばかりなので。
余所のものはどうであろうとちっとも心には懸けないように日ましにそうなって来た。	余所のものは何うであらうと些少も心には懸けないやうに日ましにさうなつて来た。
しかしこういう心になるまでには、私を教えるために、毎日、毎晩、見る者、聞くものについて、母様がどんなに苦労をなすって、丁寧に深切に、飽かないで、熱心に、懇に噛んで含めるようになすったかも知れはしない。	しかしかういふ心になるまでには、私を教へるために毎日、毎晩、見る者、聞くものについて、母様がどんなに苦労をなすつて、丁寧に親切に飽かないで、熱心に、懇に噛むで含めるやうになすつたかも知れはしない。
だもの、どうして学校の先生をはじめ、余所のものが少々ぐらいのことで、分るものか、誰だって分りやしません。	だもの、何うして学校の先生をはじめ、余所のものが少々位のことで、分るものか、誰だつて分りやしません。
ところが、母様と私とのほか知らないことを、モ一人｜他に知ってるものがあるそうで、始終母様がいってお聞かせの、それはあすこに置物のように畏っている、あの猿――あの猿の旧の飼主であった――老父さんの猿廻だといいます。	処が、母様と私とのほか知らないことをモ一人他に知つてるものがあるさうで、始終母様がいつてお聞かせの、其は彼処に置物のやうに畏つて居る、あの猿―あの猿の旧の飼主であつた―老父さんの猿廻だといひます。
さっき私がいった、猿に出処があるというのはこのことで。	さつき私がいつた、猿に出処があるといふのはこのことで。
まだ私が母様のお腹に居た時分だッて、そういいましたっけ。	まだ私が母様のお腹に居た時分だツて、さういひましたつけ。
初卯の日、母様が腰元を二人連れて、市の卯辰の方の天神様へお参んなすって、晩方帰っていらっしゃった。	初卯の日、母様が腰元を二人｜連れて、市の卯辰の方の天神様へお参ンなすつて、晩方帰つて居らつしやつた、
ちょうど川向うの、いま猿の居る処で、堤防の上のあの柳の切株に腰をかけて猿のひかえ綱を握ったなり、俯向いて、小さくなって、肩で呼吸をしていたのがその猿廻のじいさんであった。	ちやうど川向ふの、いま猿の居る処で、堤坊の上のあの柳の切株に腰をかけて猿のひかへ綱を握つたなり、俯向いて、小さくなつて、肩で呼吸をして居たのが其猿廻のぢいさんであつた。
大方今の紅雀のその姉さんだの、頬白のその兄さんだのであったろうと思われる。男だの、女だの、七八人寄って、たかって、猿にからかって、きゃあきゃあいわせて、わあわあ笑って、手を拍って、喝采して、おもしろがって、おかしがって、散々慰んで、そら菓子をやるワ、蜜柑を投げろ、餅をたべさすわって、皆でどっさり猿に御馳走をして、暗くなるとどやどやいっちまったんだ。	大方今の紅雀の其姉さんだの、頬白の其兄さんだのであつたらうと思はれる、男だの、女だの七八人｜寄つて、たかつて、猿にからかつて、きやあ／＼いはせて、わあ／＼笑つて、手を拍つて、喝采して、おもしろがつて、をかしがつて、散々慰むで、そら菓子をやるワ、蜜柑を投げろ、餅をたべさすワツて、皆でどつさり猿に御馳走をして、暗くなるとどや／＼いつちまつたんだ。
で、じいさんをいたわってやったものは、ただの一｜人もなかったといいます。	で、ぢいさんをいたはつてやつたものは、唯の一人もなかつたといひます。
あわれだとお思いなすって、母様がお銭を恵んで、肩掛を着せておやんなすったら、じいさん涙を落して拝んで喜びましたって、そうして、	あはれだとお思ひなすつて、母様がお銭を恵むで、肩掛を着せておやんなすつたら、ぢいさん涙を落して拝むで喜こびましたつて、さうして、
（ああ、奥様、私は獣になりとうございます。	あゝ、奥様、私は獣になりたうございます。
あいら、皆畜生で、この猿めが夥間でござりましょう。	あいら、皆畜生で、この猿めが夥間でござりましやう。
それで、手前達の同類にものをくわせながら、人間一｜疋の私には目を懸けぬのでござります。）	それで、手前達の同類にものをくはせながら、人間一疋の私には目を懸けぬのでござります

トさういつてあたりを睨むだ、恐らくこのぢいさんなら分るであらう、いや、分るまでもない、人が獣であることをいはないでも知つて居やうとさういつて母様がお聞かせなすつた、	とそういってあたりを睨んだ、恐らくこのじいさんなら分るであろう、いや、分るまでもない、人が獣であることをいわないでも知っていようと、そういって、母様がお聞かせなすった。	
うまいこと知ってるな、じいさん。じいさんと母様と私と三人だ。		うまいこと知てるな、ぢいさん。ぢいさんと母様と私と三人だ。
その時じいさんがそのまんまで控綱をそこン処の棒杭に縛りッ放しにして猿をうっちゃって行こうとしたので、供の女中が口を出して、どうするつもりだって聞いた。	其時ぢいさんが其まんまで控綱を其処ン処の棒杭に縛りツ放しにして猿をうつちやつて行かうとしたので、供の女中が口を出して、何うするつもりだつて聞いた。
母様もまた傍からまあ棄児にしては可哀相でないかッて、お聞きなすったら、じいさんにやにやと笑ったそうで、	母様もまた傍からまあ捨児にしては可哀想でないかツて、お聞きなすつたら、ぢいさんにや／＼と笑つたさうで、
（はい、いえ、大丈夫でござります。）	はい、いえ、大丈夫でござります。
人間をこうやっといたら、餓えも凍えもしようけれど、獣でござりますから今に長い目で御覧じまし、此奴はもう決してひもじい目に逢うことはござりませぬから。	人間をかうやつといたら、餓ゑも凍ゑもしやうけれど、獣でござりますから今に長い目で御覧じまし、此奴はもう決してひもじい目に逢ふことはござりませぬから
とそういって、かさねがさね恩を謝して、分れてどこへか行っちまいましたッて。	トさういつてかさね／″＼恩を謝して分れて何処へか行つちまひましたツて。
果して猿は餓えないでいる。	果して猿は餓ゑないで居る。
もう今ではよっぽどの年紀であろう。	もう今では余程の年紀であらう。
すりゃ、猿のじいさんだ。	すりや、猿のぢいさんだ。
道理で、功を経た、ものの分ったような、そして生まじめで、けろりとした、妙な顔をしているんだ。	道理で、功を経た、ものゝ分つたやうな、そして生まじめで、けろりとした、妙な顔をして居るんだ。
見える見える、雨の中にちょこなんと坐っているのが手に取るように窓から見えるワ。	見える／＼、雨の中にちよこなんと坐つて居るのが手に取るやうに窓から見えるワ。
八	第八
朝晩｜見馴れて珍しくもない猿だけれど、いまこんなこと考え出して、いろんなこと思って見ると、また殊にものなつかしい。あのおかしな顔早くいって見たいなと、そう思って、窓に手をついてのびあがって、ずっと肩まで出すとがかかって、眼のふちがひやりとして、冷たい風が頬を撫でた。	朝晩見馴れて珍らしくもない猿だけれど、いまこんなこと考え出していろんなこと思つて見ると、また殊にものなつかしい、あのおかしな顔早くいつて見たいなと、さう思つて、窓に手をついてのびあがつて、づゝと肩まで出すとがかゝつて、眼のふちがひやりとして、冷たい風が頬を撫でた。
その時仮橋ががたがたいって、川面の小糠雨を掬うように吹き乱すと、流が黒くなって颯と出た。	爾時仮橋ががた／＼いつて、川面の小糠雨を掬ふやうに吹き乱すと、流が黒くなつて颯と出た。
といっしょに向岸から橋を渡って来る、洋服を着た男がある。	トいつしよに向岸から橋を渡つて来る、洋服を着た男がある。
橋板がまた、がッたりがッたりいって、次第に近づいて来る、鼠色の洋服で、釦をはずして、胸を開けて、けばけばしゅう襟飾を出した、でっぷり紳士で、胸が小さくッて、下腹の方が図ぬけにはずんでふくれた、脚の短い、靴の大きな、帽子の高い、顔の長い、鼻の赤い、それは寒いからだ。	橋板がまた、がツたりがツたりいつて、次第に近づいて来る、鼠色の洋服で、釦をはづして、胸を開けて、けば／＼しう襟飾を出した、でつぷり紳士で、胸が小さくツて、下腹の方が図ぬけにはずんでふくれた、脚の短い、靴の大きな、帽子の高い、顔の長い、鼻の赤い、其は寒いからだ。
そして大跨に、その逞い靴を片足ずつ、やりちがえにあげちゃあ歩行いて来る。靴の裏の赤いのがぽっかり、ぽっかりと一ツずつこっちから見えるけれど、自分じゃあ、その爪さきも分りはしまい。	そして大跨に、其逞い靴を片足づゝ、やりちがへにあげちやあ歩行いて来る、靴の裏の赤いのがぽつかり、ぽつかりと一ツづゝ此方から見えるけれど、自分じやあ、其爪さきも分りはしまい。
何でもあんなに腹のふくれた人は、臍から下、膝から上は見たことがないのだとそういいます。	何でもあんなに腹のふくれた人は臍から下、膝から上は見たことがないのだとさういひます。
あら！	あら！
あら！	あら！
短服に靴を穿いたものが転がって来るぜと、思って、じっと見ていると、橋のまんなかあたりへ来て鼻目金をはずした、がかかって曇ったと見える。	短服に靴を穿いたものが転がつて来るぜと、思つて、じつと見て居ると、橋のまんなかあたりへ来て鼻眼鏡をはづした、がかゝつて曇つたと見える。
で、衣兜から手巾を出して、拭きにかかったが、蝙蝠傘を片手に持っていたから手を空けようとして咽喉と肩のあいだへ柄を挟んで、うつむいて、珠を拭いかけた。	で、衣兜から半拭を出して、拭きにかゝつたが、蝙蝠傘を片手に持つて居たから手を空けやうとして咽喉と肩のあひだへ柄を挟んで、うつむいて、珠を拭ひかけた。
これは今までに幾｜度も私見たことのある人で、何でも小児の時は物見高いから、そら、婆さんが転んだ、花が咲いた、といって五六人人だかりのすることが眼の及ぶ処にあれば、必ず立って見るが、どこに因らず、場所は限らない。すべて五十人以上の人が集会したなかには必ずこの紳士の立交っていないということはなかった。	これは今までに幾度も私見たことのある人で、何でも小児の時は物見高いから、そら、婆さんが転んだ、花が咲いた、といつて五六人｜人だかりのすることが眼の及ぶ処にあれば、必ず立つて見るが何処に因らずで場所は限らない、すべて五十人｜以上の人が集会したなかには必ずこの紳士の立交つて居ないといふことはなかつた。
見る時にいつも傍の人を誰かしらつかまえて、尻上りの、すました調子で、何かものをいっていなかったことはほとんど無い。それに人から聞いていたことはかつてないので、いつでも自分で聞かせている。	見る時にいつも傍の人を誰か知らつかまへて、尻上りの、すました調子で、何かものをいつて居なかつたことは殆んど無い、それに人から聞いて居たことは曾てないので、いつでも自分で聞かせて居る、
が、聞くものがなければ独で、むむ、ふむ、といったような、承知したようなことを独言のようでなく、聞かせるようにいってる人で。	が、聞くものがなければ独で、むゝ、ふむ、といつたやうな、承知したやうなことを独言のやうでなく、聞かせるやうにいつてる人で、
母様も御存じで、あれは博士ぶりというのであるとおっしゃった。	母様も御存じで、彼は博士ぶりといふのであるとおつしやつた。
けれども鰤ではたしかにない、あの腹のふくれた様子といったら、まるで、鮟鱇に肖ているので、私は蔭じゃあ鮟鱇博士とそういいますワ。	けれども鰤ではたしかにない、あの腹のふくれた様子といつたら、宛然、鮟鱇に肖て居るので、私は蔭じやあ鮟鱇博士とさういひますワ。
その時も今｜被っている、高い帽子を持っていたが、何だってまたあんな度はずれの帽子を着たがるんだろう。	其時も今被つて居る、高い帽子を持つて居たが、何だつてまたあんな度はづれの帽子を着たがるんだらう。
この間も学校へ参観に来たことがある。	此間も学校へ参観に来たことがある。
だって、目金を拭こうとして、蝙蝠傘を頤で押えて、うつむいたと思うと、ほら、ほら、帽子が傾いて、重量で沈み出して、見てるうちにすっぽり、赤い鼻の上へ被さるんだもの。	だつて、眼鏡を拭かうとして、蝙蝠傘を頤で押へて、うつむいたと思ふと、ほら／＼、帽子が傾いて、重量で沈み出して、見てるうちにすつぼり、赤い鼻の上へ被さるんだもの。
目金をはずした上へ帽子がかぶさって、眼が見えなくなったんだから驚いた、顔中帽子、ただ口ばかりが、その口を赤くあけて、あわてて、顔をふりあげて帽子を揺りあげようとしたから蝙蝠傘がばったり落ちた。	眼鏡をはづした上で帽子がかぶさつて、眼が見えなくなつたんだから驚いた、顔中帽子、唯口ばかりが、其口を赤くあけて、あはてゝ、顔をふりあげて、帽子を揺りあげやうとしたから蝙蝠傘がばツたり落ちた。
落こちると勢よく三ツばかりくるくると舞った間に、鮟鱇博士は五ツばかりおまわりをして、手をのばすと、ひょいと横なぐれに風を受けて、斜めに飛んで、遥か川下の方へ憎らしく落着いた風でゆったりしてふわりと落ちると、たちまち矢のごとくに流れ出した。	落こちると勢よく三ツばかりくる／＼とまつた間に、鮟鱇博士は五ツばかりおまはりをして、手をのばすと、ひよいと横なぐれに風を受けて、斜めに飛んで、遙か川下の方へ憎らしく落着いた風でゆつたりしてふわりと落ちるト忽ち矢の如くに流れ出した。
博士は片手で目金を持って、片手を帽子にかけたまま、烈しく、急に、ほとんど数える隙がないほど靴のうらで虚空を踏んだ、橋ががたがたと動いて鳴った。	博士は片手で眼鏡を持つて、片手を帽子にかけたまゝ烈しく、急に、殆んど数へる遑がないほど靴のうらで虚空を踏むだ、橋ががた／＼と動いて鳴つた。
「母様、母様、母様。」	「母様、母様、母様」
と私は足ぶみした。	と私は足ぶみをした。
「あい。」	「あい。」
としずかに、おいいなすったのが背後に聞える。	としづかに、おいひなすつたのが背後に聞こえる。
窓から見たまま振向きもしないで、急込んで、	窓から見たまゝ振向きもしないで、急込んで、
「あらあら流れるよ。」	「あら／＼流れるよ。」
「鳥かい、獣かい。」	「鳥かい、獣かい。」
と極めて平気でいらっしゃる。	と極めて平気でいらつしやる。
「蝙蝠なの、傘なの、あら、もう見えなくなったい、ほら、ね、流れッちまいました。」	「蝙蝠なの、傘なの、あら、もう見えなくなつたい、ほら、ね、流れツちまひました。」
「蝙蝠ですと。」	「蝙蝠ですと。」
「ああ、落ッことしたの、可哀相に。」	「あゝ、落ツことしたの、可哀想に。」
と思わず歎息をして呟いた。	と思はず嘆息をして呟いた。
母様は笑を含んだお声でもって、	母様は笑を含むだお声でもつて、
「廉や、それはね、雨が晴れるしらせなんだよ。」	「廉や、それはね、雨が晴れるしらせなんだよ。」
この時猿が動いた。	此時猿が動いた。
一｜廻くるりと環にまわって、前足をついて、棒杭の上へ乗って、お天気を見るのであろう、仰向いて空を見た。	一廻くるりと環にまはつて前足をついて、棒杭の上へ乗つて、お天気を見るのであらう、仰向いて空を見た。
晴れるといまに行くよ。	晴れるといまに行くよ。
母様は嘘をおっしゃらない。	母様は嘘をおつしやらない。
博士は頻に指ししていたが、口が利けないらしかった。	博士は頻に指しをして居たが、口が利けないらしかつた、
で、一散に駈けて来て、黙って小屋の前を通ろうとする。		で、一散に駆けて、来て黙つて小屋の前を通らうとする。
「おじさんおじさん。」	「おぢさん／＼。」
と厳しく呼んでやった。	と厳しく呼んでやつた。
追懸けて、	追懸けて、
「橋銭を置いていらっしゃい、おじさん。」	「橋銭を置いて去らつしやい、おぢさん。」
とそういった。	とさういつた。
「何だ！」	「何だ！」
一通の声ではない。	一通の声ではない、
さっきから口が利けないで、あのふくれた腹に一杯固くなるほど詰め込み詰め込みしておいた声を、紙鉄砲ぶつようにはじきだしたものらしい。	さつきから口が利けないで、あのふくれた腹に一杯固くなるほど詰め込み／＼して置いた声を、紙鉄砲ぶつやうにはぢきだしたものらしい。
で、赤い鼻をうつむけて、額越に睨みつけた。	で、赤い鼻をうつむけて、額越に睨みつけた。
「何か。」	「何か」
と今度は鷹揚である。	と今度は応揚である。
私は返事をしませんかった。	私は返事をしませんかつた。
それは驚いたわけではない、恐かったわけではない。	それは驚いたわけではない、恐かつたわけではない。
鮟鱇にしては少し顔がそぐわないから何にしよう、何に肖ているだろう、この赤い鼻の高いのに、さきの方が少し垂れさがって、上唇におっかぶさってる工合といったらない、魚より獣よりむしろ鳥の嘴によく肖ている。	鮟鱇にしては少し顔がそぐはないから何にしやう、何に肖て居るだらう、この赤い鼻の高いのに、さきの方が少し垂れさがつて、上唇におつかぶさつてる工合といつたらない、魚より獣より寧ろ鳥の嘴によく肖て居る、
雀か、山雀か、	雀か、山雀か、
そうでもない。それでもないト考えて七面鳥に思いあたった時、なまぬるい音調で、	さうでもない。それでもないト考えて七面鳥に思ひあたつた時、なまぬるい音調で、
「馬鹿め。」	「馬鹿め。」
といいすてにして、沈んで来る帽子をゆりあげて行こうとする。	といひすてにして沈んで来る帽子をゆりあげて行かうとする。
「あなた。」	「あなた。」
とおっかさんが屹とした声でおっしゃって、お膝の上の糸｜屑を、細い、白い、指のさきで二ツ三ツはじき落して、すっと出て窓の処へお立ちなすった。	とおつかさんが屹とした声でおつしやつて、お膝の上の糸屑を細い、白い、指のさきで二ツ三ツはじき落して、すつと出て窓の処へお立ちなすつた。
「渡をお置きなさらんではいけません。」	「渡をお置きなさらんではいけません。」
「え、え、え。」	「え、え、え。」
といったがじれったそうに、	といつたがぢれつたさうに、
「俺は何じゃが、うう、知らんのか。」	「僕は何じやが、うゝ知らんのか。」
「誰です、あなたは。」	「誰です、あなたは。」
と冷かで、私こんなのを聞くとすっきりする。	と冷で。私こんなのをきくとすつきりする、
眼のさきに見える気にくわないものに、水をぶっかけて、天窓から洗っておやんなさるので、いつでもこうだ、極めていい。	眼のさきに見える気にくわないものに、水をぶつかけて、天窓から洗つておやんなさるので、いつでもかうだ、極めていゝ。
鮟鱇は腹をぶくぶくさして、肩をゆすったが、衣兜から名刺を出して、笊のなかへまっすぐに恭しく置いて、	鮟鱇は腹をぶく／＼さして、肩をゆすつたが、衣兜から名刺を出して、笊のなかへまつすぐに恭しく置いて、
「こういうものじゃ、これじゃ、俺じゃ。」	「かういふものじや、これじや、僕じや。」
といって肩書の処を指した、恐しくみじかい指で、黄金の指環の太いのをはめている。	といつて肩書の処を指した、恐ろしくみぢかい指で、黄金の指輪の太いのをはめて居る。
手にも取らないで、口のなかに低声におよみなすったのが、市内衛生会委員、教育談話会幹事、生命保険会社社員、一六会会長、美術奨励会理事、大野喜太郎。	手にも取らないで、口のなかに低声におよみなすつたのが、市内衛生会委員、教育談話会幹事、生命保険会社々員、一六会々長、美術奨励会理事、大日本赤十字社社員、天野喜太郎。
「この方ですか。」	「この方ですか。」
「うう。」	「うゝ。」
